component,RSL,RSLsd,yearBP,siteID,model_ranking
1,358.819976449013,1573.0070912475,-68,1,0
1,407.260759549681,1566.29866045083,14,1,0
1,420.839554398786,1568.49301915885,43,1,0
1,430.038480886724,1571.3964190434,65.5,1,0
1,437.56229484966,1574.90269441519,86.5125,1,0
1,443.895134046208,1578.94649331489,106.975,1,0
1,452.770409989171,1587.43093026849,143.5,1,0
1,460.931889145635,1621.69066658186,261.05,1,0
1,455.067669160664,1638.99271719623,314.525,1,0
1,447.095151587855,1652.20798047733,354.925,1,0
1,438.937967688311,1662.45529070215,386.4875,1,0
1,427.083851558156,1674.56018622839,424.5125,1,0
1,415.969335504808,1684.12023523606,455.475,1,0
1,402.263108036481,1694.33916690834,489.9125,1,0
1,380.222100095358,1708.23967639213,540.0125,1,0
1,359.524293914903,1719.21283570579,583.5125,1,0
1,306.030234874226,1740.90194833706,688.9375,1,0
1,226.576671107206,1759.74260588993,847.125,1,0
1,135.545604949351,1763.02478294431,1074,1,0
1,88.0095270113088,1752.68040978674,1254.55,1,0
1,55.2131648911163,1736.85949973087,1438.0125,1,0
1,42.3718011663295,1730.19580461253,1516.4625,1,0
1,31.907336499542,1725.70928018614,1574.9625,1,0
1,18.0355027248152,1721.28832399828,1641.5375,1,0
1,1.43252460705116,1717.77342595794,1706.475,1,0
1,-43.1210662717931,1713.34275868675,1831.4875,1,0
1,-160.295613867231,1712.4700548401,2025.0375,1,0
1,-449.961403360125,1717.14637709857,2292.0375,1,0
1,-746.669277968816,1713.38310462216,2489.5125,1,0
1,-868.345674280077,1708.9523465393,2566.0125,1,0
1,-953.549266083632,1705.12907669352,2620.5,1,0
1,-1021.70968320733,1701.83944320757,2665.525,1,0
1,-1091.03267486021,1698.50919063713,2713.5,1,0
1,-1142.75907859113,1696.20258610871,2751.4125,1,0
1,-1200.09998992598,1693.99469436819,2796.5125,1,0
1,-1251.02158642747,1692.53254986754,2840.475,1,0
1,-1306.6426161835,1691.79789576949,2895,1,0
1,-1416.01140903821,1695.78254394637,3050.05,1,0
1,-1447.18246425875,1700.00336941848,3136.4625,1,0
1,-1455.55532739591,1701.83055334943,3176.9625,1,0
1,-1462.10955020646,1703.99233049093,3241.4625,1,0
1,-1462.1795007945,1704.79830942612,3303.5,1,0
1,-1460.04097565683,1704.56704535043,3340.9625,1,0
1,-1457.47602388496,1703.97714026197,3370.9375,1,0
1,-1454.95719385194,1703.23032598976,3395.5,1,0
1,-1451.7087524794,1702.08055155475,3424,1,0
1,-1448.76393918367,1700.87353396344,3448.3625,1,0
1,-1445.29711464979,1699.25074396402,3476.475,1,0
1,-1441.5341877914,1697.21583391707,3507.4875,1,0
1,-1437.03458955698,1694.30902428517,3547.35,1,0
1,-1432.64518588502,1690.69075088454,3593.4875,1,0
1,-1430.32588078594,1688.16156316845,3624.9875,1,0
1,-1428.82967934245,1685.97401124424,3652.4375,1,0
1,-1428.16444273293,1684.64022661404,3669.4875,1,0
1,-1427.50559885241,1682.37511761506,3699.3875,1,0
1,-1427.43901532656,1680.78130652064,3721.4625,1,0
1,-1427.62006310979,1679.64285494285,3737.95,1,0
1,-1427.94025613973,1678.67974067095,3752.4875,1,0
1,-1428.72075861134,1677.27488605527,3774.9125,1,0
1,-1430.31666504033,1675.53213897001,3805.4375,1,0
1,-1431.90570339048,1674.35412192804,3828.4875,1,0
1,-1434.24588815216,1673.09326892884,3856.425,1,0
1,-1436.39095665747,1672.23308346276,3878.425,1,0
1,-1439.83276105952,1671.22591963463,3909.325,1,0
1,-1447.26750966255,1670.00193311628,3964.9625,1,0
1,-1464.64284871798,1669.50526948142,4062.9625,1,0
1,-1482.79563182592,1670.12018136102,4137.85,1,0
1,-1499.35612385161,1670.76731765134,4191.45,1,0
1,-1512.5213170154,1671.18441436273,4227.425,1,0
1,-1535.61760267662,1671.6539404452,4280.9125,1,0
1,-1556.28361024754,1671.82353400459,4321.525,1,0
1,-1575.17059653439,1671.81753546597,4354.4125,1,0
1,-1593.5189068648,1671.69953721442,4383.425,1,0
1,-1610.61790396832,1671.51354350871,4408.3875,1,0
1,-1630.21909511508,1671.2318094907,4435,1,0
1,-1644.29368183902,1670.99433590661,4453,1,0
1,-1670.94481750485,1670.48473539132,4484.975,1,0
1,-1698.26182203786,1669.90272925251,4515.375,1,0
1,-1719.32896225946,1669.42420930561,4537.4625,1,0
1,-1748.56896570232,1668.7282482334,4566.475,1,0
1,-1783.473680811,1667.85928780692,4599,1,0
1,-1837.87319665123,1666.43590830675,4645.975,1,0
1,-1893.82198028034,1664.88857455533,4690.4875,1,0
1,-2037.29753833823,1660.5130976567,4791.55,1,0
1,-2327.22119538533,1650.31614676118,4958.525,1,0
1,-2503.31481391611,1644.14761908677,5045.05,1,0
1,-2567.95497991564,1642.05642440494,5074.9875,1,0
1,-2624.40388782881,1640.33995286974,5100.5125,1,0
1,-2668.22663661791,1639.08765154557,5119.9875,1,0
1,-2713.75816645287,1637.86767784982,5139.95,1,0
1,-2768.14849664597,1636.52630981863,5163.4875,1,0
1,-2856.11771894991,1634.64291679115,5201,1,0
1,-2909.44359427411,1633.68206858286,5223.5,1,0
1,-2949.97438874422,1633.04617931704,5240.525,1,0
1,-2980.9557373249,1632.61567986085,5253.5125,1,0
1,-3003.63378128735,1632.33132663606,5263.0125,1,0
1,-3026.28276007529,1632.0733190698,5272.5,1,0
1,-3051.30600017635,1631.81835582857,5282.9875,1,0
1,-3064.44829624658,1631.69717440172,5288.5,1,0
1,-3083.50216083042,1631.53687845792,5296.5,1,0
1,-3104.93290939601,1631.37823806987,5305.5125,1,0
1,-3153.43239106378,1631.10306642987,5325.9875,1,0
1,-3227.34135329025,1630.90109364138,5357.5,1,0
1,-3256.36197333038,1630.89069336172,5370.0125,1,0
1,-3281.66216938337,1630.91191118321,5381,1,0
1,-3294.28530298313,1630.93274121355,5386.5125,1,0
1,-3306.74501727661,1630.95984562442,5391.975,1,0
1,-3314.78698425926,1630.98065603945,5395.5125,1,0
1,-3333.93585623754,1631.04073451169,5403.975,1,0
1,-3348.55496745603,1631.09632555278,5410.475,1,0
1,-3368.66281311726,1631.18588810026,5419.475,1,0
1,-3382.03338473989,1631.25355583359,5425.5,1,0
1,-3389.82123432122,1631.29585796499,5429.025,1,0
1,-3406.22120160144,1631.39170096342,5436.4875,1,0
1,-3416.02482611779,1631.45315097836,5440.975,1,0
1,-3428.00619978085,1631.53234196811,5446.4875,1,0
1,-3436.71082250308,1631.59265538354,5450.5125,1,0
1,-3452.83004375827,1631.71004011311,5458.0125,1,0
1,-3466.6917920718,1631.81660919157,5464.5125,1,0
1,-3477.23196663288,1631.90082601451,5469.4875,1,0
1,-3504.53476592153,1632.13093339511,5482.5125,1,0
1,-3535.3608651869,1632.40776613395,5497.475,1,0
1,-3560.70887721749,1632.64538214505,5510,1,0
1,-3582.61952191917,1632.85506077556,5521,1,0
1,-3620.7351013259,1633.22160720334,5540.55,1,0
1,-3717.69707092224,1634.05475734847,5593,1,0
1,-3880.47705509607,1634.14739855961,5692.025,1,0
1,-3991.14834490884,1632.01766619283,5769.0125,1,0
1,-4048.04980650032,1629.81164887202,5811.9875,1,0
1,-4073.56214179471,1628.52796108025,5832.025,1,0
1,-4097.88260524627,1627.12235717826,5851.575,1,0
1,-4128.03154161433,1625.12493447866,5876.425,1,0
1,-4149.52564590983,1623.52536524054,5894.5625,1,0
1,-4173.87233306654,1621.5365330687,5915.5375,1,0
1,-4197.10626211762,1619.46562633666,5935.9875,1,0
1,-4223.24686438963,1616.94063862904,5959.5125,1,0
1,-4248.70710739121,1614.2953295209,5982.9625,1,0
1,-4274.22855791822,1611.47757891395,6007.0125,1,0
1,-4311.39148516953,1607.13023723064,6043.025,1,0
1,-4354.2239793418,1601.8886116478,6086,1,0
1,-4380.88623526273,1598.59140255938,6113.525,1,0
1,-4409.80329719838,1595.07363454199,6144,1,0
1,-4437.2967591281,1591.86552173248,6173.5,1,0
1,-4484.02482817648,1586.94664800394,6224.4875,1,0
1,-4567.01781614264,1580.72710809764,6315.5375,1,0
1,-4623.48447146639,1578.62907359484,6376,1,0
1,-4647.93077286752,1578.21546434766,6401.5125,1,0
1,-4663.95761347422,1578.08618282432,6417.9875,1,0
1,-4685.17453253595,1578.06915981146,6439.475,1,0
1,-4709.35890654521,1578.23642252658,6463.5,1,0
1,-4719.56828375952,1578.3587251978,6473.4875,1,0
1,-4729.90105824405,1578.50996427484,6483.5,1,0
1,-4738.75320209516,1578.65953289634,6492,1,0
1,-4745.04785957467,1578.77618977033,6498,1,0
1,-4755.06891672499,1578.97788469505,6507.475,1,0
1,-4760.90615137108,1579.10367705731,6512.95,1,0
1,-4769.56696580257,1579.30060205179,6521.0125,1,0
1,-4776.03709534183,1579.45481909118,6526.9875,1,0
1,-4783.68924214877,1579.64434165174,6534,1,0
1,-4791.9048484629,1579.85534561259,6541.4625,1,0
1,-4800.26847509528,1580.07711171121,6548.9875,1,0
1,-4867.86346234474,1582.00238894603,6606.975,1,0
1,-4942.05373518495,1584.05469253266,6664.4875,1,0
1,-5029.74453591695,1586.05005725908,6724.5,1,0
1,-5076.62518412899,1586.89421780155,6753.4875,1,0
1,-5084.19120769715,1587.01650172535,6757.9875,1,0
1,-5099.56288143061,1587.25353492728,6766.9875,1,0
1,-5158.77770051733,1588.03320537627,6800.0125,1,0
1,-5255.00622949842,1588.91539348875,6848.9875,1,0
1,-5321.24658128992,1589.30865434831,6880,1,0
1,-5332.31182335829,1589.36097061725,6885,1,0
1,-5337.82859770348,1589.38583118305,6887.475,1,0
1,-5340.12096908735,1589.39586495577,6888.5,1,0
1,-5344.60677380022,1589.41512118263,6890.5,1,0
1,-5346.8560614083,1589.42465967639,6891.5,1,0
1,-5347.98230064195,1589.42930687122,6892,1,0
1,-5352.49788761791,1589.44789792892,6894,1,0
1,-5355.89573185425,1589.46152108462,6895.5,1,0
1,-5360.41258768737,1589.47922242391,6897.4875,1,0
1,-5362.69155553728,1589.48794339762,6898.4875,1,0
1,-5363.88971053623,1589.49249903366,6899.0125,1,0
1,-5368.43615976023,1589.50941398769,6901,1,0
1,-5371.87851369055,1589.52194380455,6902.5,1,0
1,-5373.02807976399,1589.52605458142,6903,1,0
1,-5377.6080517387,1589.54220686578,6904.9875,1,0
1,-5379.97656997619,1589.55033847196,6906.0125,1,0
1,-5412.76960689668,1589.65182730407,6920.0125,1,0
1,-5499.51223410293,1589.8397729252,6955.4875,1,0
1,-5639.97341301199,1590.03100900522,7009,1,0
1,-5737.86622459255,1590.18239420325,7044,1,0
1,-5756.52022208227,1590.21896723855,7050.4875,1,0
1,-5773.94872236345,1590.25611582277,7056.5,1,0
1,-5794.40895586368,1590.30376620392,7063.5,1,0
1,-5801.83378847037,1590.32225078383,7066.025,1,0
1,-5812.0536491829,1590.3486084789,7069.4875,1,0
1,-5816.56883939309,1590.36068184504,7071.0125,1,0
1,-5819.49717956549,1590.36866033409,7072,1,0
1,-5822.46624537744,1590.37678760577,7073,1,0
1,-5825.47617279412,1590.38521103061,7074.0125,1,0
1,-5834.37927941792,1590.41073899536,7077,1,0
1,-5835.90988476481,1590.41524372605,7077.5125,1,0
