modelID,global_amp,global_tscale,local_amp,local_tscale,local_sscale,noise,logp,logp_out,plotstatus
1,55670.28409,4694.089254,1514.497586,846.6675946,6.26851653667815e-06,0.108365388,3921.693795,-4433.853053,optimal model
2,10000,6953.006191,1737.424495,741.7698612,0.000159876,0.119574474,4002.20108,-4072.362112,non-optimal model
3,10000,6953.259318,1737.513395,741.8242563,0.000159996,0.18554059,4002.20115,-4072.362022,non-optimal model
4,55608.91663,4699.529298,1512.026515,842.591582,2.84329520508791e-05,0.209259636,3921.693323,-4431.323192,optimal model
5,33937.57427,2000,1479.540999,1035.918881,3.50158027549316e-05,0.268420515,3935.112038,-4614.005258,non-optimal model
6,33925.28835,2000,1480.186062,1036.435685,2.89257157802157e-05,0.704505166,3935.113928,-4613.931168,non-optimal model
7,54513.74045,4649.679991,1516.219883,850.1396435,2.55864613614606e-05,1.992540717,3921.709838,-4430.762682,optimal model
8,54156.86014,3613.633577,800,593.5819841,1.03902950971655e-05,0.68600563,3972.206342,-4643.514699,non-optimal model
9,53917.33455,3614.970383,800,589.3254133,1.01212481637176e-05,0.338411651,3972.205901,-4639.290088,non-optimal model
10,55613.15156,4704.279239,1516.307898,846.3638211,3.85103058124868e-05,1.669809851,3921.7011,-4431.431944,optimal model
11,55943.55479,4517.072042,1153.728847,200,1.25552524144491e-05,1.42739017,3985.635182,-4437.38352,non-optimal model
12,55404.52257,4682.154941,1516.457231,846.6650079,1.85123491076835e-06,0.102314067,3921.694103,-4432.571923,optimal model
13,55682.28713,4698.193055,1515.216227,846.4268559,3.5413813941401e-05,0.403515173,3921.692255,-4433.11274,optimal model
14,55553.95732,4694.70334,1514.794378,845.4736816,5.42811891582194e-05,0.506852107,3921.698331,-4431.919947,optimal model
15,55713.39368,4701.307128,1515.16728,846.1520156,3.60017175065742e-05,0.081729768,3921.691716,-4432.864251,optimal model
16,55665.3515,4698.892642,1515.110114,846.6444662,3.51973118388931e-05,0.620165415,3921.693005,-4433.017861,optimal model
17,55838.27617,4708.184454,1515.963777,846.5210319,6.75162856609936e-05,0.947834868,3921.711229,-4432.575003,optimal model
18,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
19,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
20,56478.5799,4733.335875,1526.441407,849.9292566,6.49057331067557e-05,0.626717601,3921.712752,-4433.737157,optimal model
