Site,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_er_max,Age_er_min,Type,Indicator,SubRegion_No
Belize_4,16.831979000000000,-88.105595,-0.030352389,0.320409273,0.320409273,-68,1,1,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.069005802,0.320410771,0.320410771,14,74,74,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.107832927,0.320413083,0.320413083,43,95,95,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.14675457,0.320416356,0.320416356,65.5,107.525,107.525,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.185732135,0.320420613,0.320420613,86.5125,115.5125,115.5125,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.224759024,0.320425871,0.320425871,106.975,117.05,117.05,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.263822569,0.320432262,0.320432262,143.5,116.5,116.5,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.302951102,0.319753405,0.319753405,261.05,187.05,187.05,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.342078769,0.319761862,0.319761862,314.525,215.55,215.55,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.381224694,0.319771363,0.319771363,354.925,224.125,224.125,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.420397887,0.319781866,0.319781866,386.4875,238.5625,238.5625,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.459588663,0.319793409,0.319793409,424.5125,253.6125,253.6125,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.498793716,0.319806048,0.319806048,455.475,262.525,262.525,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.538023585,0.319819762,0.319819762,489.9125,257.1375,257.1375,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.577269311,0.319834503,0.319834503,540.0125,240.0375,240.0375,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.616526198,0.31985028,0.31985028,583.5125,235.5125,235.5125,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.655797012,0.319867016,0.319867016,688.9375,243.0875,243.0875,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.695083187,0.319884878,0.319884878,847.125,253.125,253.125,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.734375888,0.319903829,0.319903829,1074,223,223,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.800062393,0.286221563,0.286221563,1254.55,213.575,213.575,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.839380273,0.286244975,0.286244975,1438.0125,294.0125,294.0125,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.878707465,0.286269632,0.286269632,1516.4625,291.5875,291.5875,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.918045735,0.286295462,0.286295462,1574.9625,295.0375,295.0375,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.957392808,0.286322392,0.286322392,1641.5375,296.5375,296.5375,0,1,4
Belize_4,16.831979000000000,-88.105595,-0.996747586,0.286350424,0.286350424,1706.475,289.55,289.55,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.036112649,0.286379529,0.286379529,1831.4875,286.5125,286.5125,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.075481445,0.286409827,0.286409827,2025.0375,247.0625,247.0625,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.095906514,0.300012617,0.300012617,2292.0375,271.0375,271.0375,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.135297673,0.3000438,0.3000438,2489.5125,369.5125,369.5125,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.174695083,0.300076229,0.300076229,2566.0125,410.0125,410.0125,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.21409854,0.300109524,0.300109524,2620.5,433.6,433.6,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.25351089,0.300143903,0.300143903,2665.525,450.55,450.55,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.292936819,0.300179528,0.300179528,2713.5,468.525,468.525,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.33235876,0.300215993,0.300215993,2751.4125,478.6125,478.6125,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.371800282,0.300253659,0.300253659,2796.5125,477.5125,477.5125,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.411232535,0.300292684,0.300292684,2840.475,479.525,479.525,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.450678353,0.300332448,0.300332448,2895,485.025,485.025,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.490137401,0.300373454,0.300373454,3050.05,534.075,534.075,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.529605671,0.300415337,0.300415337,3136.4625,537.5375,537.5375,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.569072527,0.300458605,0.300458605,3176.9625,536.0875,536.0875,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.608544826,0.300502787,0.300502787,3241.4625,549.5375,549.5375,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.665717176,0.287868023,0.287868023,3303.5,553.525,553.525,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.705200285,0.287916487,0.287916487,3340.9625,558.0875,558.0875,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.744685769,0.287965945,0.287965945,3370.9375,556.1375,556.1375,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.784178878,0.288016653,0.288016653,3395.5,547.525,547.525,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.823681693,0.288068215,0.288068215,3424,537.05,537.05,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.863191109,0.288120915,0.288120915,3448.3625,531.6375,531.6375,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.902702775,0.288174553,0.288174553,3476.475,525.55,525.55,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.942210666,0.288229121,0.288229121,3507.4875,522.5125,522.5125,0,1,4
Belize_4,16.831979000000000,-88.105595,-1.981726647,0.28828507,0.28828507,3547.35,511.65,511.65,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.021257351,0.288342496,0.288342496,3593.4875,495.5625,495.5625,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.060792693,0.288400649,0.288400649,3624.9875,479.0375,479.0375,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.100324217,0.288459963,0.288459963,3652.4375,474.5875,474.5875,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.139859699,0.28852033,0.28852033,3669.4875,466.6125,466.6125,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.179398437,0.288581806,0.288581806,3699.3875,457.6375,457.6375,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.218945053,0.288644453,0.288644453,3721.4625,448.5875,448.5875,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.258497919,0.288708033,0.288708033,3737.95,445.05,445.05,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.298054433,0.288772552,0.288772552,3752.4875,439.5375,439.5375,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.337610978,0.28883794,0.28883794,3774.9125,423.0875,423.0875,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.377174907,0.28890452,0.28890452,3805.4375,399.6625,399.6625,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.416742282,0.288972383,0.288972383,3828.4875,387.5625,387.5625,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.456312731,0.289041409,0.289041409,3856.425,374.575,374.575,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.495889774,0.289111475,0.289111475,3878.425,365.625,365.625,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.535471471,0.289182583,0.289182583,3909.325,355.7,355.7,0,1,4
Belize_4,16.831979000000000,-88.105595,-2.575055244,0.28925462,0.28925462,3964.9625,351.0625,351.0625,0,1,4
