tosave_1,tosave_2,tosave_3,tosave_4,tosave_5,tosave_6,tosave_7,tosave_8,
sampleID,LAT,MLWS,MLWN,MTL,MHWN,MHWS,HAT,StudySite
306-20,-0.18397,-0.12681,-0.082372,-0.012439,0.061251,0.09817,0.14222,Glover's Reef
308-20,-0.18397,-0.12681,-0.082372,-0.012439,0.061251,0.09817,0.14222,Glover's Reef
309-20,-0.18397,-0.12681,-0.082372,-0.012439,0.061251,0.09817,0.14222,Glover's Reef
312-20,-0.18357,-0.12646,-0.082138,-0.012381,0.060985,0.098085,0.14226,Glover's Reef
318-20,-0.18379,-0.12666,-0.082265,-0.01242,0.061054,0.098192,0.14239,Glover's Reef
325-20,-0.1858,-0.1284,-0.083469,-0.012419,0.06175,0.10045,0.14693,Lighthouse Reef
326-20,-0.1858,-0.1284,-0.083469,-0.012419,0.06175,0.10045,0.14693,Lighthouse Reef
331-20,-0.18518,-0.12812,-0.083196,-0.012228,0.061834,0.10057,0.14753,Lighthouse Reef
336-20,-0.18585,-0.12861,-0.083513,-0.012132,0.062372,0.10122,0.1487,Lighthouse Reef
342-20,-0.18558,-0.12842,-0.083374,-0.012251,0.062044,0.10074,0.14781,Lighthouse Reef
346-20,-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,Tobacco Cay
348-20,-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,Tobacco Cay
354-20,-0.18308,-0.12574,-0.080534,-0.012122,0.059749,0.098031,0.14389,Emily
355-20,-0.18308,-0.12574,-0.080534,-0.012122,0.059749,0.098031,0.14389,Emily
226-21,-0.18308,-0.12574,-0.080534,-0.012122,0.059749,0.098031,0.14389,Emily
359-20,-0.18423,-0.12618,-0.079944,-0.011869,0.059391,0.099257,0.14705,Rendezvous Cay
360-20,-0.18423,-0.12618,-0.079944,-0.011869,0.059391,0.099257,0.14705,Rendezvous Cay
362-20,-0.18423,-0.12618,-0.079944,-0.011869,0.059391,0.099257,0.14705,Rendezvous Cay
367-20,-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,Gallow's Point Reef
368-20,-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,Gallow's Point Reef
375-20,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
378-20,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
379-20,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
380-20,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
381-20,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
382-20,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
385-20,-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,Nicholas Cay
386-20,-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,Nicholas Cay
387-20,-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,Nicholas Cay
392-20,-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,Ranguana Cay
395-20,-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,Cross Cay
396-20,-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,Cross Cay
BETA-89831,-0.18397,-0.12681,-0.082372,-0.012439,0.061251,0.09817,0.14222,Glover's Reef
BETA-87920,-0.18397,-0.12681,-0.082372,-0.012439,0.061251,0.09817,0.14222,Glover's Reef
BETA-87921,-0.18397,-0.12681,-0.082372,-0.012439,0.061251,0.09817,0.14222,Glover's Reef
BETA-89832,-0.18379,-0.12666,-0.082265,-0.01242,0.061054,0.098192,0.14239,Glover's Reef
BETA-89833,-0.18379,-0.12666,-0.082265,-0.01242,0.061054,0.098192,0.14239,Glover's Reef
BETA-96587,-0.18372,-0.12689,-0.082184,-0.012123,0.060887,0.099693,0.14622,Turneffe Island
BETA-96645,-0.18344,-0.12697,-0.082134,-0.011963,0.061266,0.099991,0.14741,Turneffe Island
BETA-98360,-0.1858,-0.1284,-0.083469,-0.012419,0.06175,0.10045,0.14693,Lighthouse Reef
BETA-171884,-0.18322,-0.12645,-0.081915,-0.012275,0.060477,0.098788,0.14477,Turneffe Island
BETA-171885,-0.18518,-0.12812,-0.083196,-0.012228,0.061834,0.10057,0.14753,Lighthouse Reef
BETA-117889,-0.18558,-0.12842,-0.083374,-0.012251,0.062044,0.10074,0.14781,Lighthouse Reef
BETA-117890,-0.18572,-0.1285,-0.083461,-0.012322,0.061873,0.1008,0.14768,Lighthouse Reef
BBR 1-2.8,-0.18217,-0.12291,-0.076559,-0.011786,0.056698,0.09563,0.14434,Tobacco Cay
BBR 2-2.0,-0.18308,-0.12574,-0.080534,-0.012122,0.059749,0.098031,0.14389,Emily
BBR 3-3.5,-0.18423,-0.12618,-0.079944,-0.011869,0.059391,0.099257,0.14705,Rendezvous Cay
BBR 3-8.4,-0.18423,-0.12618,-0.079944,-0.011869,0.059391,0.099257,0.14705,Rendezvous Cay
BBR 4-1.7,-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,Gallow's Point Reef
BBR 4-6.0,-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,Gallow's Point Reef
BBR 4-9.3,-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,Gallow's Point Reef
BBR 5-2.8,-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,Gladden spit
BBR 5-7.3,-0.18272,-0.12581,-0.081616,-0.012366,0.060858,0.097105,0.13981,Gladden spit
BBR 6-3.2,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
BBR 7-3.0,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
BBR 8-2.9,-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,Nicholas Cay
BBR 8-8.3,-0.18188,-0.12501,-0.080931,-0.012079,0.060587,0.097033,0.13804,Nicholas Cay
BBR 9-2.9,-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,Ranguana Cay
BBR 9-10.7,-0.18232,-0.12545,-0.081219,-0.012201,0.060817,0.097049,0.13903,Ranguana Cay
BBR 10-2.2,-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,Cross Cay
BBR 10-4.2,-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,Cross Cay
BBR 10-7.0,-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,Cross Cay
BBR 11-2.0,-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,Cross Cay
BBR 11-4.4,-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,Cross Cay
BBR 11-6.8,-0.18279,-0.12409,-0.078396,-0.011976,0.057901,0.096679,0.14407,Cross Cay
BBR 4-10.8,-0.18484,-0.12763,-0.081969,-0.011781,0.060888,0.10159,0.14967,Gallow's Point Reef
BBR 6-12.2,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
BBR 6-8.0,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
BBR 7-8.9,-0.18314,-0.1252,-0.079484,-0.012128,0.059061,0.097114,0.14274,Carrie Bow Cay
G5-460/465,-0.1843,-0.12712,-0.082623,-0.012504,0.061231,0.098492,0.14311,Glover's Reef
G7-base,-0.18414,-0.12694,-0.082585,-0.01245,0.061151,0.098572,0.14337,Glover's Reef
G9-base,-0.18369,-0.12657,-0.082182,-0.012399,0.06114,0.098015,0.142,Glover's Reef
T4-base,-0.18288,-0.12625,-0.081652,-0.012197,0.060127,0.098985,0.14518,Turneffe Island
T6-base,-0.1834,-0.12675,-0.081771,-0.012006,0.060624,0.09987,0.14675,Turneffe Island
T7-base,-0.18313,-0.12658,-0.081836,-0.012045,0.060654,0.099582,0.14618,Turneffe Island
T12-base,-0.18314,-0.12671,-0.081981,-0.012017,0.060964,0.099665,0.1468,Turneffe Island
L5-base,-0.18563,-0.12846,-0.083385,-0.012242,0.062056,0.10083,0.14798,Lighthouse Reef
L6-base,-0.18511,-0.1278,-0.083157,-0.012438,0.061349,0.099852,0.14586,Lighthouse Reef
