"","depth","age_lwr_2sd","age_upr_2sd","mid_age","sample_elev","RWL","IR","IR_uncertainty_2sd","levelling_uncertainty_dumpy","levelling_uncertainty_GPS","core_uncertainty_russian","nonvertical_uncertainty","PDL","PDL sd","RSL","RSL_uncertainty_up","RSL_uncertainty_down","RSL_lwr_2sd","RSL_upr_2sd","paleotide_corr_RWL","paleotide_corr_IR","correctedRSL","corrRSL_uncertainty_up","corrRSL_uncertainty_down","corrRSL_lwr_2sd","corrRSL_upr_2sd"
"1",0,-69,-67,-68,-0.0403182039697909,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0,0.000782610754736075,7.57776080455978e-05,-0.0665034652114068,0.279981394537102,0.279981394537102,-0.346484859748508,0.213477929325695,-0.009183203969791,0.49381,-0.0303523892452638,0.320409272640452,0.320409272640452,-0.350761661885716,0.290056883395188
"2",0.04,-60,88,14,-0.0803182039697909,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,8e-04,0.00212869818740498,0.00040711062814396,-0.105157377778738,0.279983680371215,0.279982537445125,-0.385139915223863,0.174826302592477,-0.009183203969791,0.49381,-0.0690063018125949,0.320411270059675,0.320410271341688,-0.389416573154283,0.25140496824708
"3",0.08,-52,138,43,-0.120318203969791,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.0016,0.00330007603826859,0.000544286164984923,-0.143985999927874,0.279988041365474,0.279983469704328,-0.423969469632202,0.136002041437599,-0.009183203969791,0.49381,-0.107834923961731,0.320415080816614,0.3204110859735,-0.428246009935231,0.212580156854883
"4",0.12,-42.025,173.025,65.5,-0.160318203969791,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.0024,0.00437593559463757,0.000648503898908142,-0.182910140371505,0.279994643783027,0.27998435768304,-0.462894498054545,0.0970845034115218,-0.009183203969791,0.49381,-0.146759064405362,0.32042085021769,0.320411861912488,-0.467170926317851,0.173661785812328
"5",0.16,-29,202.025,86.5125,-0.200318203969791,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.0032,0.00539487587736945,0.000736591717378965,-0.221891200088773,0.280003515312557,0.279985229230738,-0.501876429319512,0.0581123152237831,-0.009183203969791,0.49381,-0.18574012412263,0.320428602491152,0.320412623494195,-0.506152747616825,0.134688478368521
"6",0.2,-10.075,224.025,106.975,-0.240318203969791,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.004,0.0063634924949926,0.000815493746595031,-0.26092258347115,0.280014675397843,0.279986104009038,-0.540908687480188,0.0190920919266931,-0.009183203969791,0.49381,-0.224771507505007,0.320438354672475,0.320413387899449,-0.545184895404457,0.0956668471674678
"7",0.24,27,260,143.5,-0.280318203969791,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.0048,0.00729445476657093,0.000899439249918504,-0.299991621199572,0.280028274075697,0.279987132350424,-0.579978753549996,-0.0199633471238747,-0.009183203969791,0.49381,-0.263840545233429,0.320450237929163,0.320414286493061,-0.58425483172649,0.056609692695734
"8",0.28,74,448.1,261.05,-0.320318203969791,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.0056,0.00819252969048208,0.000978730184431949,-0.339093546275661,0.280044192885788,0.279988196124501,-0.619081742400162,-0.059049353389873,-0.00915005271139249,0.492027351703871,-0.302975621567916,0.319777923498913,0.319728885709873,-0.622704507277789,0.016802301930997
"9",0.32,98.975,530.075,314.525,-0.360318203969791,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.0064,0.00905735827035152,0.00105361252434817,-0.378228717695791,0.280062419319984,0.279989283215202,-0.658218000910993,-0.0981662983758074,-0.00915005271139249,0.492027351703871,-0.342110792988047,0.319793885344275,0.319729837681107,-0.661840630669154,-0.0223169076437723
"10",0.36,130.8,579.05,354.925,-0.400318203969791,0.0269678719963519,0.383090372199337,0.191545186099668,0.2,0.04,0.01,0.0072,0.00990292767413116,0.00112665698663032,-0.417383148292012,0.280082980100217,0.279990420803675,-0.697373569095686,-0.137300168191794,-0.00915005271139249,0.492027351703871,-0.381265223584267,0.319811891789601,0.319730833874438,-0.700996057458705,-0.0614533317946665
