component,modelID,RSL,RSLsd,yearBP,siteID,model_ranking
1,1,-113784.836776754,2560.12781740187,18918,1,2
1,1,-113793.820416158,2556.43919774126,18818,1,2
1,1,-113712.694301795,2551.71988251294,18718,1,2
1,1,-113558.948606413,2546.70689849801,18618,1,2
1,1,-113352.652916796,2542.44433625127,18518,1,2
1,1,-113114.497783219,2540.18605831265,18418,1,2
1,1,-112863.707614152,2541.37124394697,18318,1,2
1,1,-112616.388450413,2547.64299591716,18218,1,2
1,1,-112385.288013279,2560.87325108071,18118,1,2
1,1,-112180.159912005,2583.14246816186,18018,1,2
1,1,-112008.001879516,2616.77140962848,17918,1,2
1,1,-111873.320574063,2664.38765891475,17818,1,2
1,1,-111778.444387116,2728.81694466135,17718,1,2
1,1,-111723.828214806,2812.69202001254,17618,1,2
1,1,-111708.348615541,2917.80768932278,17518,1,2
1,1,-111729.576551501,3044.41189117994,17418,1,2
1,1,-111783.96471793,3190.86847122787,17318,1,2
1,1,-111866.966027905,3353.81084969094,17218,1,2
1,1,-111973.140441338,3528.55060035814,17118,1,2
1,1,-112096.257475454,3709.57341051836,17018,1,2
1,1,-112229.394987972,3891.00634064326,16918,1,2
1,1,-112365.034801251,4066.99694476706,16818,1,2
1,1,-112495.15572553,4231.9915101914,16718,1,2
1,1,-112611.324531456,4380.92548546271,16618,1,2
1,1,-112704.785415707,4509.34766273021,16518,1,2
1,1,-112766.548499726,4613.49867446641,16418,1,2
1,1,-112787.477899004,4690.35986923056,16318,1,2
1,1,-112758.379900443,4737.68386130727,16218,1,2
1,1,-112670.091786785,4754.01418556458,16118,1,2
1,1,-112513.571850936,4738.69876754198,16018,1,2
1,1,-112279.991148458,4691.90005539886,15918,1,2
1,1,-111960.827544315,4614.60339785227,15818,1,2
1,1,-111547.962619492,4508.6242122705,15718,1,2
1,1,-111033.782014726,4376.61337552883,15618,1,2
1,1,-110411.279802501,4222.05863197759,15518,1,2
1,1,-109674.167494193,4049.27710199498,15418,1,2
1,1,-108816.988307411,3863.38942670447,15318,1,2
1,1,-107835.237338759,3670.25881714824,15218,1,2
1,1,-106725.488309944,3476.36785976472,15118,1,2
1,1,-105485.527579912,3288.59387241533,15018,1,2
1,1,-104114.496143268,3113.83618138526,14918,1,2
1,1,-102613.040364867,2958.46022923435,14818,1,2
1,1,-100983.472233148,2827.57448146173,14718,1,2
1,1,-99229.9399498729,2724.25599845265,14618,1,2
1,1,-97358.6105266716,2648.95474453888,14518,1,2
1,1,-95377.9953255183,2599.36046090111,14418,1,2
1,1,-93300.0392994322,2570.95536465098,14318,1,2
1,1,-91141.5466778916,2558.04941777483,14218,1,2
1,1,-88924.6841543522,2554.87232294283,14118,1,2
1,1,-86676.4788880143,2556.45021042293,14018,1,2
1,1,-84427.5719839786,2559.13152901607,13918,1,2
1,1,-82210.3249341343,2560.75699147658,13818,1,2
1,1,-80056.5075055677,2560.5365658271,13718,1,2
1,1,-77994.939300877,2558.70138667608,13618,1,2
1,1,-76049.1371331494,2556.02812467627,13518,1,2
1,1,-74235.4354146868,2553.3887164255,13418,1,2
1,1,-72562.7626177566,2551.53024966778,13318,1,2
1,1,-71033.5964581612,2551.02724812704,13218,1,2
1,1,-69645.0398047408,2552.2263860817,13118,1,2
1,1,-68389.8555296976,2555.15720467618,13018,1,2
1,1,-67257.3608480562,2559.50226488477,12918,1,2
1,1,-66234.0100713419,2564.70324872112,12818,1,2
1,1,-65303.7171983551,2570.20728983205,12718,1,2
1,1,-64448.1499130642,2575.83125819758,12618,1,2
1,1,-63647.3000288745,2582.23496879611,12518,1,2
1,1,-62880.2347530108,2591.33795671621,12418,1,2
1,1,-62125.856674647,2606.49584998924,12318,1,2
1,1,-61363.6629314097,2632.30781615009,12218,1,2
1,1,-60574.5076114284,2673.97992953546,12118,1,2
1,1,-59741.3570019035,2736.31440407932,12018,1,2
1,1,-58849.952542156,2822.65676408769,11918,1,2
1,1,-57889.2515005311,2934.10712332458,11818,1,2
1,1,-56851.3874780759,3069.2866318029,11718,1,2
1,1,-55731.3897006875,3224.65328155204,11618,1,2
1,1,-54526.9025469543,3395.11910467787,11518,1,2
1,1,-53237.9196674693,3574.74085220199,11418,1,2
1,1,-51866.5313348919,3757.32375653951,11318,1,2
1,1,-50416.6837106012,3936.870984569,11218,1,2
1,1,-48893.9487562114,4107.8800343407,11118,1,2
