component,modelID,df2s,dsd2s,yearBP,siteID,model_ranking
1,1,-0.0898363940324689,15.648343661367,18868,1,2
1,1,0.811261143626256,15.6476028268976,18768,1,2
1,1,1.53745695381884,15.6497210881666,18668,1,2
1,1,2.06295689616807,15.6538660786842,18568,1,2
1,1,2.38155133577295,15.6597963546356,18468,1,2
1,1,2.50790169066523,15.6676656775178,18368,1,2
1,1,2.47319163739566,15.6778673361473,18268,1,2
1,1,2.31100437134262,15.6908828504109,18168,1,2
1,1,2.051281012738,15.707226980134,18068,1,2
1,1,1.72158032489015,15.7274637507838,17968,1,2
1,1,1.34681305452842,15.7519647904358,17868,1,2
1,1,0.948761869473969,15.780459640353,17768,1,2
1,1,0.546161723096852,15.8117087726412,17668,1,2
1,1,0.1547959926485,15.8434457604415,17568,1,2
1,1,-0.212279359595355,15.8726985183245,17468,1,2
1,1,-0.543881664294982,15.8966588639912,17368,1,2
1,1,-0.830013099750645,15.9133144468143,17268,1,2
1,1,-1.06174413432759,15.9215601916966,17168,1,2
1,1,-1.23117034115819,15.9211712934198,17068,1,2
1,1,-1.33137512518635,15.912712355964,16968,1,2
1,1,-1.35639813278288,15.8974050272234,16868,1,2
1,1,-1.3012092427903,15.8769704587782,16768,1,2
1,1,-1.16168805926168,15.8534586946186,16668,1,2
1,1,-0.934608842512831,15.8290744019143,16568,1,2
1,1,-0.617630840191738,15.806006810275,16468,1,2
1,1,-0.209293992776544,15.7862709992269,16368,1,2
1,1,0.290979985614562,15.7715672590913,16268,1,2
1,1,0.882881136579721,15.7631648391333,16168,1,2
1,1,1.56519935848657,15.7618156879637,16068,1,2
1,1,2.33580702478067,15.7677025911478,15968,1,2
1,1,3.19163604142374,15.7804244814751,15868,1,2
1,1,4.12864924823177,15.7990197062853,15768,1,2
1,1,5.14180604766121,15.8220259632893,15668,1,2
1,1,6.2250221222499,15.8475737321089,15568,1,2
1,1,7.37112308307792,15.8735085105911,15468,1,2
1,1,8.571791867828,15.8975361727507,15368,1,2
1,1,9.81750968651604,15.9173852020924,15268,1,2
1,1,11.0974902881541,15.9309792632755,15168,1,2
1,1,12.3996073003159,15.9366132182692,15068,1,2
1,1,13.7103143664357,15.9331249180498,14968,1,2
1,1,15.0145577840136,15.9200534331156,14868,1,2
1,1,16.2956813171926,15.89777146344,14768,1,2
1,1,17.5353228327492,15.8675751118725,14668,1,2
1,1,18.7132942320127,15.8317075768934,14568,1,2
1,1,19.8061520115333,15.7932328649575,14468,1,2
1,1,20.7795602608611,15.7554312488925,14368,1,2
