age,sd,curve,Depth,Thickness,labID,SUBMITTER NO,IRMS d13C,Type,Pretreatment
-69,1,normal,0,0,core top,NA,NA,NA,NA
120,30,intcal20,24.5,1,BETA 538705,GR/19/C1 24-25,-26.1,macro,AAA
480,30,IntCal20,69,2,BETA 603742,GR/19/C1/B/68-70/H,-25.2,macro,AAA
560,30,IntCal20,69,2,BETA 603741,GR/19/C1/B/68-70/G,-25.3,macro,AAA
1320,30,IntCal20,69,2,BETA 603740,GR/19/C1/B/68-70/F,-25.4,macro,AAA
400,30,IntCal20,69,2,BETA 603739,GR/19/C1/B/68-70/E,-25.1,macro,AAA
1010,30,IntCal20,69,2,BETA 603738,GR/19/C1/B/68-70/D,-25.7,macro,AAA
1060,30,IntCal20,69,2,BETA 603737,GR/19/C1/B/68-70/C,-26.7,fine fraction,AAA-BI
1200,40,IntCal20,69,2,BETA 603736,GR/19/C1/B/68-70/B,"NA",fine fraction,AAA-BS
980,30,IntCal20,69,2,BETA 603735,GR/19/C1/B/68-70/A,-27.8,fine fraction,A
6150,30,intcal20,76.5,1,BETA 538707,GR/19/C1 76-77,-27.4,macro,AAA
2180,30,IntCal20,104.5,1,BETA 597077,GR/19/C1/B/104-105/A,-27.4,fine fraction,"NA"
2190,30,IntCal20,104.5,1,BETA 597078,GR/19/C1/B/104-105/C,-28.3,fine fraction,A
2080,30,IntCal20,104.5,1,BETA 597079,GR/19/C1/B/104-105/D,-26.8,macro,AAA
1980,30,IntCal20,104.5,1,BETA 597081,GR/19/C1/B/104-105/F,-27.3,macro,AAA
1630,30,IntCal20,104.5,1,BETA 597082,GR/19/C1/B/104-105/G,-27.2,macro,AAA
3130,30,intcal20,144.5,1,BETA 538706,GR/19/C1 144-145,-25.6,macro,AAA
2470,30,IntCal20,148,2,BETA 711720,GR/19/C1/B/147-149,-27.47,fine fraction,AAA-BI
3490,30,intcal20,160.5,1,BETA 538704,GR/19/C1 160-161,-28.3,macro,AAA
3680,30,intcal20,196.5,1,BETA 538722,GR/19/C1 196-197,-27.3,macro,AAA
3770,30,intcal20,256.5,1,BETA 538709,GR/19/C1 256-257,-26.5,macro,AAA
