"","Depth","lwr_true","median_true","upr_true","lwr_2sd","median","upr_2sd","test_error","subset","runID","nfold"
"1",0,-72.8,-69,-65.2,-46.025,136,265.025,900.784858393563,0,"all dates",10
"2",24.5,7.275,145.5,283.725,10.95,250.5,673.05,900.784858393563,0,"all dates",10
"3",69,322.2,1006,1275.8,600.975,898.5,1198,900.784858393563,0,"all dates",10
"4",69,322.2,1006,1275.8,600.975,898.5,1198,900.784858393563,0,"all dates",10
"5",69,512.775,852.5,1115.225,588.925,955,1239.05,900.784858393563,0,"all dates",10
"6",69,512.775,852.5,1115.225,588.925,955,1239.05,900.784858393563,0,"all dates",10
"7",69,336.45,506,623.55,651.95,965,1199.025,900.784858393563,0,"all dates",10
"8",69,747.5,887,1046.5,544.85,1008.5,1293.15,900.784858393563,0,"all dates",10
"9",69,747.5,887,1046.5,544.85,1008.5,1293.15,900.784858393563,0,"all dates",10
"10",69,1079.225,1210.5,1337.775,534.9,884,1125.025,900.784858393563,0,"all dates",10
"11",76.5,6866.625,7042.5,7237.375,1050.875,1290,1643,900.784858393563,0,"all dates",10
"12",104.5,1889.925,2040.5,2290.075,1674,2105,2310.075,900.784858393563,0,"all dates",10
"13",104.5,2008.55,2171,2333.45,1713,2059,2321.125,900.784858393563,0,"all dates",10
"14",104.5,1390.55,2029,2324.45,1880.975,2077,2306.025,900.784858393563,0,"all dates",10
"15",104.5,1390.55,2029,2324.45,1880.975,2077,2306.025,900.784858393563,0,"all dates",10
"16",104.5,1747.2,1903,2088.8,1884.7,2145,2371.125,900.784858393563,0,"all dates",10
"17",144.5,3180.9,3319,3450.1,2356.925,2573,2687,900.784858393563,0,"all dates",10
"18",148,2360.7,2545,2729.3,3308,3433.5,3607.05,900.784858393563,0,"all dates",10
"19",160.5,3585.875,3754.5,3951.125,3371.975,3560,3795.025,900.784858393563,0,"all dates",10
"20",196.5,3848.45,4009,4217.55,3717,3862,4046.125,900.784858393563,0,"all dates",10
"21",256.5,3463.275,3620.5,3815.725,4094,4193.5,4281,900.784858393563,0,"all dates",10
"22",256.5,3941.675,4171.5,4392.325,3560.925,4268,4558.025,900.784858393563,0,"all dates",10
"23",334,4659.425,4888.5,5033.575,4706,4887,5108.025,900.784858393563,0,"all dates",10
"24",334,4662.625,4910.5,5036.375,4635.95,4840.5,4951,900.784858393563,0,"all dates",10
"25",334,4662.125,5023.5,5562.875,4671.95,4849,4949.05,900.784858393563,0,"all dates",10
"26",334,4662.125,5023.5,5562.875,4671.95,4849,4949.05,900.784858393563,0,"all dates",10
