Depth,lwr_2sd,median,upr_2sd,model
0,-69,-68,-67,Bchron
4,-60,-30,88,Bchron
8,-52,4,138,Bchron
12,-42.025,35,173.025,Bchron
16,-29,68,202.025,Bchron
20,-10.075,98,224.025,Bchron
24,27,139.5,260,Bchron
28.000000000000004,74,243,448.1,Bchron
32,98.975,287.5,530.075,Bchron
36,130.8,332,579.05,Bchron
40,147.925,370,625.05,Bchron
44,170.9,417,678.125,Bchron
48,192.95,459,718,Bchron
52,232.775,504.5,747.05,Bchron
56.00000000000001,299.975,553,780.05,Bchron
60,348,602,819.025,Bchron
64,445.85,726,932.025,Bchron
68,594,882,1100.25,Bchron
72,851,1063,1297,Bchron
76,1040.975,1274,1468.125,Bchron
80,1144,1413.5,1732.025,Bchron
84,1224.875,1504,1808.05,Bchron
88,1279.925,1596,1870,Bchron
92,1345,1685,1938.075,Bchron
96,1416.925,1783.5,1996.025,Bchron
100,1544.975,1922,2118,Bchron
104,1777.975,2064,2272.1,Bchron
108,2021,2241.5,2563.075,Bchron
112.00000000000001,2120,2354,2859.025,Bchron
115.99999999999999,2156,2430.5,2976.025,Bchron
120,2186.9,2504,3054.1,Bchron
124,2214.975,2581,3116.075,Bchron
128,2244.975,2671.5,3182.025,Bchron
132,2272.8,2766,3230.025,Bchron
136,2319,2911.5,3274.025,Bchron
140,2360.95,3039,3320,Bchron
144,2409.975,3247.5,3380.025,Bchron
148,2515.975,3374,3584.125,Bchron
152,2598.925,3474.5,3674,Bchron
156,2640.875,3563,3713.05,Bchron
160,2691.925,3674,3791,Bchron
164,2749.975,3727.5,3857.025,Bchron
168,2782.875,3751,3899.05,Bchron
172,2814.8,3772,3927.075,Bchron
176,2847.975,3791.5,3943.025,Bchron
180,2886.95,3814,3961.05,Bchron
184,2916.725,3839,3980,Bchron
188,2950.925,3868,4002.025,Bchron
192,2984.975,3896,4030,Bchron
196,3035.7,3936,4059,Bchron
200,3097.925,3968,4089.05,Bchron
204,3145.95,3984,4104.025,Bchron
208,3177.85,3996,4127.025,Bchron
212,3202.875,4007,4136.1,Bchron
216,3241.75,4019,4157.025,Bchron
220.00000000000003,3272.875,4029,4170.05,Bchron
224.00000000000003,3292.9,4038.5,4183,Bchron
227.99999999999997,3312.95,4049,4192.025,Bchron
231.99999999999997,3351.825,4061,4198,Bchron
236,3405.775,4073,4205.1,Bchron
240,3440.925,4082,4216.05,Bchron
244,3481.85,4094,4231,Bchron
248,3512.8,4105.5,4244.05,Bchron
252,3553.625,4122,4265.025,Bchron
256,3613.9,4160.5,4316.025,Bchron
260,3700.9,4225,4425.025,Bchron
264,3794.7,4262.5,4481,Bchron
268,3851.875,4294,4531.025,Bchron
272,3892.825,4321.5,4562.025,Bchron
276,3952.725,4350.5,4609.1,Bchron
280,4008.975,4380,4634.075,Bchron
284,4053.8,4404.5,4655.025,Bchron
288,4090.825,4433,4676.025,Bchron
292,4124.75,4460.5,4692.025,Bchron
296,4154.975,4487,4715.025,Bchron
300,4175.9,4513.5,4730.1,Bchron
304,4221.925,4538,4748.025,Bchron
308,4265.75,4562,4765,Bchron
312,4294.9,4592,4780.025,Bchron
316,4336.95,4621,4796,Bchron
320,4387.975,4652,4810.025,Bchron
324,4465.95,4683,4826,Bchron
328,4525.95,4726,4855.025,Bchron
332,4633,4818,4950.1,Bchron
336,4780.95,4913,5136.1,Bchron
340,4862.975,4969.5,5227.125,Bchron
344,4880.975,5009,5269,Bchron
348,4890.975,5041,5310.05,Bchron
352,4903.975,5066,5336,Bchron
356,4913.875,5097,5366.025,Bchron
360,4917.975,5164,5409,Bchron
364,4938,5323,5464,Bchron
368,4948.975,5324.5,5498.025,Bchron
372,4956,5327,5525.05,Bchron
376,4966,5327.5,5541.025,Bchron
380,4973,5329,5553.025,Bchron
384,4981.975,5332,5563.025,Bchron
388,4989.975,5334,5576,Bchron
392,4994,5335,5583,Bchron
396,5001,5336,5592,Bchron
400,5008,5338,5603.025,Bchron
404,5024.95,5341,5627.025,Bchron
408,5060.975,5365.5,5654.025,Bchron
412,5080,5377,5660.025,Bchron
416,5095,5380.5,5667,Bchron
420,5103,5381,5670.025,Bchron
424,5108.95,5383.5,5675,Bchron
428,5113,5387,5678.025,Bchron
432,5124.95,5389,5683,Bchron
436.00000000000006,5133.95,5391,5687,Bchron
440.00000000000006,5148.95,5396,5690,Bchron
444.00000000000006,5158,5402.5,5693,Bchron
448.00000000000006,5162,5403.5,5696.05,Bchron
451.99999999999994,5172.95,5408,5700.025,Bchron
455.99999999999994,5176.925,5410,5705.025,Bchron
459.99999999999994,5183.975,5415,5709,Bchron
463.99999999999994,5191,5419.5,5710.025,Bchron
468,5201,5422,5715.025,Bchron
472,5211,5430,5718.025,Bchron
476,5217.975,5439.5,5721,Bchron
480,5239,5448,5726.025,Bchron
484,5257.95,5463.5,5737,Bchron
488,5274,5473.5,5746,Bchron
492,5286,5486.5,5756,Bchron
496,5307.95,5503,5773.15,Bchron
500,5338,5595.5,5848,Bchron
504,5431,5690,5953.05,Bchron
508,5532,5757,6006.025,Bchron
512,5579.95,5808,6044.025,Bchron
516,5604.975,5842.5,6059.075,Bchron
520,5621.975,5868.5,6081.175,Bchron
524,5642.85,5888.5,6110,Bchron
528,5664.875,5906.5,6124.25,Bchron
532,5688,5923,6143.075,Bchron
536,5711.825,5942,6160.15,Bchron
540,5739.975,5962.5,6179.05,Bchron
544,5769.925,5981,6196,Bchron
