"","datum","level","ortho_level","level_MSL"
"1","HAT",0.83804,0.56491,0.237721796030209
"2","MHWS",0.704188856332703,0.431058856332703,0.103870652362912
"3","MHW",0.680507725174929,0.407377725174929,0.080189521205138
"4","MHWN",0.664219990786241,0.391089990786241,0.0639017868164501
"5","MSL",0.600318203969791,0.327188203969791,0
"6","MTL",0.588387730811912,0.315257730811912,-0.011930473157879
"7","MLWN",0.513923561374795,0.240793561374795,-0.086394642594996
"8","MLW",0.496267736448895,0.223137736448895,-0.104050467520896
"9","MLWS",0.481069522665866,0.207939522665866,-0.119248681303925
"10","LAT",0.34423,0.0711,-0.256088203969791
