Time(kaBP) RSL-2sigma    RSL    RSL+2sigma
    1   -88.060    17.868    1
Time(kaBP) RSL-2sigma    RSL    RSL+2sigma
    -12.00    -65.14    -59.28    -53.42
    -11.50    -61.72    -56.20    -50.69
    -11.00    -55.29    -50.09    -44.89
    -10.50    -48.84    -43.92    -38.99
    -10.00    -41.21    -36.54    -31.87
     -9.50    -32.65    -28.20    -23.76
     -9.00    -24.65    -20.76    -16.87
     -8.50    -18.31    -14.49    -10.68
     -8.00    -14.12    -10.36     -6.59
     -7.50    -10.39     -6.74     -3.08
     -7.00     -6.81     -3.31      0.18
     -6.50     -5.18     -1.86      1.45
     -6.00     -3.71     -0.70      2.31
     -5.50     -3.22     -0.50      2.22
     -5.00     -2.68     -0.27      2.15
     -4.50     -2.17     -0.05      2.08
     -4.00     -1.67      0.19      2.04
     -3.50     -1.25      0.35      1.94
     -3.00     -0.82      0.53      1.88
     -2.50     -0.53      0.58      1.68
     -2.00     -0.26      0.64      1.54
     -1.50     -0.19      0.49      1.16
     -1.00     -0.11      0.35      0.80
     -0.50     -0.02      0.25      0.51
      0.00      0.00      0.00      0.00
    2   -88.042    17.479    2
Time(kaBP) RSL-2sigma    RSL    RSL+2sigma
    -12.00    -64.78    -58.93    -53.09
    -11.50    -61.38    -55.89    -50.40
    -11.00    -54.97    -49.77    -44.56
    -10.50    -48.56    -43.62    -38.67
    -10.00    -40.95    -36.24    -31.54
     -9.50    -32.41    -27.91    -23.40
     -9.00    -24.45    -20.48    -16.50
     -8.50    -18.14    -14.23    -10.32
     -8.00    -13.99    -10.12     -6.25
     -7.50    -10.29     -6.52     -2.76
     -7.00     -6.76     -3.13      0.50
     -6.50     -5.14     -1.71      1.71
     -6.00     -3.70     -0.57      2.55
     -5.50     -3.21     -0.39      2.43
     -5.00     -2.67     -0.17      2.32
     -4.50     -2.17      0.03      2.22
     -4.00     -1.67      0.24      2.15
     -3.50     -1.25      0.40      2.05
     -3.00     -0.83      0.56      1.95
     -2.50     -0.54      0.61      1.76
     -2.00     -0.28      0.65      1.58
     -1.50     -0.21      0.50      1.20
     -1.00     -0.13      0.35      0.83
     -0.50     -0.02      0.25      0.51
      0.00      0.00      0.00      0.00
    3   -87.874    17.380    3
Time(kaBP) RSL-2sigma    RSL    RSL+2sigma
    -12.00    -65.46    -59.73    -54.00
    -11.50    -62.03    -56.64    -51.25
    -11.00    -55.59    -50.48    -45.36
    -10.50    -49.14    -44.28    -39.41
    -10.00    -41.48    -36.85    -32.22
     -9.50    -32.90    -28.46    -24.03
