Time(kaBP) RSL-2sigma    RSL    RSL+2sigma
    1   -88.060    17.868    1
Time(kaBP) RSL-2sigma    RSL    RSL+2sigma
    -12.00    -56.74    -49.30    -41.85
    -11.50    -50.32    -43.38    -36.45
    -11.00    -39.01    -32.65    -26.28
    -10.50    -32.51    -26.62    -20.74
    -10.00    -26.58    -21.08    -15.59
     -9.50    -20.97    -15.89    -10.81
     -9.00    -16.63    -11.87     -7.11
     -8.50    -12.04     -7.61     -3.18
     -8.00     -9.16     -5.10     -1.03
     -7.50     -6.14     -2.38      1.39
     -7.00     -4.54     -1.02      2.51
     -6.50     -3.38     -0.11      3.16
     -6.00     -2.81      0.22      3.24
     -5.50     -2.46      0.28      3.03
     -5.00     -2.11      0.37      2.85
     -4.50     -1.78      0.42      2.62
     -4.00     -1.49      0.42      2.33
     -3.50     -1.26      0.38      2.01
     -3.00     -1.07      0.32      1.71
     -2.50     -0.84      0.29      1.42
     -2.00     -0.56      0.33      1.22
     -1.50     -0.41      0.24      0.89
     -1.00     -0.27      0.15      0.58
     -0.50     -0.13      0.07      0.27
      0.00      0.00      0.00      0.00
    2   -88.042    17.479    2
Time(kaBP) RSL-2sigma    RSL    RSL+2sigma
    -12.00    -56.11    -48.86    -41.61
    -11.50    -49.73    -42.96    -36.19
    -11.00    -38.46    -32.23    -26.00
    -10.50    -31.99    -26.23    -20.48
    -10.00    -26.10    -20.71    -15.32
     -9.50    -20.53    -15.54    -10.54
     -9.00    -16.24    -11.54     -6.85
     -8.50    -11.71     -7.32     -2.92
     -8.00     -8.89     -4.84     -0.79
     -7.50     -5.92     -2.14      1.63
     -7.00     -4.35     -0.82      2.72
     -6.50     -3.26      0.05      3.36
     -6.00     -2.70      0.35      3.40
     -5.50     -2.39      0.39      3.18
     -5.00     -2.04      0.47      2.98
     -4.50     -1.73      0.50      2.73
     -4.00     -1.44      0.48      2.41
     -3.50     -1.24      0.43      2.09
     -3.00     -1.04      0.36      1.76
     -2.50     -0.82      0.32      1.47
     -2.00     -0.55      0.35      1.25
     -1.50     -0.41      0.25      0.91
     -1.00     -0.28      0.16      0.60
     -0.50     -0.13      0.07      0.28
      0.00      0.00      0.00      0.00
    3   -87.874    17.380    3
Time(kaBP) RSL-2sigma    RSL    RSL+2sigma
    -12.00    -56.67    -49.52    -42.36
    -11.50    -50.26    -43.58    -36.89
    -11.00    -38.94    -32.79    -26.64
    -10.50    -32.44    -26.75    -21.06
    -10.00    -26.51    -21.18    -15.85
     -9.50    -20.90    -15.97    -11.03
     -9.00    -16.57    -11.93     -7.29
