"","ageBP","RSL_lwr_2sd","RSL","RSL_upr_2sd","site","lat","lon","model"
"1",12,-56.74,-49.3,-41.85,"1","17.868","-88.060","ICE-6G_C"
"2",11.5,-50.32,-43.38,-36.45,"1","17.868","-88.060","ICE-6G_C"
"3",11,-39.01,-32.65,-26.28,"1","17.868","-88.060","ICE-6G_C"
"4",10.5,-32.51,-26.62,-20.74,"1","17.868","-88.060","ICE-6G_C"
"5",10,-26.58,-21.08,-15.59,"1","17.868","-88.060","ICE-6G_C"
"6",9.5,-20.97,-15.89,-10.81,"1","17.868","-88.060","ICE-6G_C"
"7",9,-16.63,-11.87,-7.11,"1","17.868","-88.060","ICE-6G_C"
"8",8.5,-12.04,-7.61,-3.18,"1","17.868","-88.060","ICE-6G_C"
"9",8,-9.16,-5.1,-1.03,"1","17.868","-88.060","ICE-6G_C"
"10",7.5,-6.14,-2.38,1.39,"1","17.868","-88.060","ICE-6G_C"
"11",7,-4.54,-1.02,2.51,"1","17.868","-88.060","ICE-6G_C"
"12",6.5,-3.38,-0.11,3.16,"1","17.868","-88.060","ICE-6G_C"
"13",6,-2.81,0.22,3.24,"1","17.868","-88.060","ICE-6G_C"
"14",5.5,-2.46,0.28,3.03,"1","17.868","-88.060","ICE-6G_C"
"15",5,-2.11,0.37,2.85,"1","17.868","-88.060","ICE-6G_C"
"16",4.5,-1.78,0.42,2.62,"1","17.868","-88.060","ICE-6G_C"
"17",4,-1.49,0.42,2.33,"1","17.868","-88.060","ICE-6G_C"
"18",3.5,-1.26,0.38,2.01,"1","17.868","-88.060","ICE-6G_C"
"19",3,-1.07,0.32,1.71,"1","17.868","-88.060","ICE-6G_C"
"20",2.5,-0.84,0.29,1.42,"1","17.868","-88.060","ICE-6G_C"
"21",2,-0.56,0.33,1.22,"1","17.868","-88.060","ICE-6G_C"
"22",1.5,-0.41,0.24,0.89,"1","17.868","-88.060","ICE-6G_C"
"23",1,-0.27,0.15,0.58,"1","17.868","-88.060","ICE-6G_C"
"24",0.5,-0.13,0.07,0.27,"1","17.868","-88.060","ICE-6G_C"
"25",0,0,0,0,"1","17.868","-88.060","ICE-6G_C"
"26",12,-56.11,-48.86,-41.61,"2","17.479","-88.042","ICE-6G_C"
"27",11.5,-49.73,-42.96,-36.19,"2","17.479","-88.042","ICE-6G_C"
"28",11,-38.46,-32.23,-26,"2","17.479","-88.042","ICE-6G_C"
"29",10.5,-31.99,-26.23,-20.48,"2","17.479","-88.042","ICE-6G_C"
"30",10,-26.1,-20.71,-15.32,"2","17.479","-88.042","ICE-6G_C"
"31",9.5,-20.53,-15.54,-10.54,"2","17.479","-88.042","ICE-6G_C"
"32",9,-16.24,-11.54,-6.85,"2","17.479","-88.042","ICE-6G_C"
"33",8.5,-11.71,-7.32,-2.92,"2","17.479","-88.042","ICE-6G_C"
"34",8,-8.89,-4.84,-0.79,"2","17.479","-88.042","ICE-6G_C"
"35",7.5,-5.92,-2.14,1.63,"2","17.479","-88.042","ICE-6G_C"
"36",7,-4.35,-0.82,2.72,"2","17.479","-88.042","ICE-6G_C"
"37",6.5,-3.26,0.05,3.36,"2","17.479","-88.042","ICE-6G_C"
