"","age","RSL","model"
"1",-10,-21.5,"6G_3D_Mantle"
"2",-9.5,-16.21,"6G_3D_Mantle"
"3",-9,-12.36,"6G_3D_Mantle"
"4",-8.5,-8.27,"6G_3D_Mantle"
"5",-8,-5.92,"6G_3D_Mantle"
"6",-7.5,-3.33,"6G_3D_Mantle"
"7",-7,-2.06,"6G_3D_Mantle"
"8",-6.5,-1.2,"6G_3D_Mantle"
"9",-6,-0.86,"6G_3D_Mantle"
"10",-5.5,-0.78,"6G_3D_Mantle"
"11",-5,-0.65,"6G_3D_Mantle"
"12",-4.5,-0.55,"6G_3D_Mantle"
"13",-4,-0.45,"6G_3D_Mantle"
"14",-3.5,-0.4,"6G_3D_Mantle"
"15",-3,-0.36,"6G_3D_Mantle"
"16",-2.5,-0.28,"6G_3D_Mantle"
"17",-2,-0.13,"6G_3D_Mantle"
"18",-1.5,-0.11,"6G_3D_Mantle"
"19",-1,-0.07,"6G_3D_Mantle"
"20",-0.5,-0.04,"6G_3D_Mantle"
"21",0,0,"6G_3D_Mantle"
"22",-10,-20.46,"6G_Ant_Delay_1ka"
"23",-9.5,-15.3,"6G_Ant_Delay_1ka"
"24",-9,-11.31,"6G_Ant_Delay_1ka"
"25",-8.5,-7.1,"6G_Ant_Delay_1ka"
"26",-8,-4.82,"6G_Ant_Delay_1ka"
"27",-7.5,-2.8,"6G_Ant_Delay_1ka"
"28",-7,-1.46,"6G_Ant_Delay_1ka"
"29",-6.5,-0.18,"6G_Ant_Delay_1ka"
"30",-6,0.69,"6G_Ant_Delay_1ka"
"31",-5.5,1.23,"6G_Ant_Delay_1ka"
"32",-5,1.15,"6G_Ant_Delay_1ka"
"33",-4.5,1.06,"6G_Ant_Delay_1ka"
"34",-4,0.98,"6G_Ant_Delay_1ka"
"35",-3.5,0.89,"6G_Ant_Delay_1ka"
"36",-3,0.79,"6G_Ant_Delay_1ka"
"37",-2.5,0.65,"6G_Ant_Delay_1ka"
"38",-2,0.59,"6G_Ant_Delay_1ka"
"39",-1.5,0.41,"6G_Ant_Delay_1ka"
"40",-1,0.26,"6G_Ant_Delay_1ka"
"41",-0.5,0.12,"6G_Ant_Delay_1ka"
"42",0,0,"6G_Ant_Delay_1ka"
"43",-10,-31.43,"6G_Global_Delay_1ka"
"44",-9.5,-25.33,"6G_Global_Delay_1ka"
"45",-9,-19.81,"6G_Global_Delay_1ka"
"46",-8.5,-14.64,"6G_Global_Delay_1ka"
"47",-8,-10.65,"6G_Global_Delay_1ka"
"48",-7.5,-6.43,"6G_Global_Delay_1ka"
"49",-7,-3.94,"6G_Global_Delay_1ka"
"50",-6.5,-1.28,"6G_Global_Delay_1ka"
"51",-6,-0.02,"6G_Global_Delay_1ka"
"52",-5.5,0.76,"6G_Global_Delay_1ka"
"53",-5,0.98,"6G_Global_Delay_1ka"
"54",-4.5,0.9,"6G_Global_Delay_1ka"
"55",-4,0.86,"6G_Global_Delay_1ka"
"56",-3.5,0.78,"6G_Global_Delay_1ka"
"57",-3,0.69,"6G_Global_Delay_1ka"
"58",-2.5,0.53,"6G_Global_Delay_1ka"
"59",-2,0.38,"6G_Global_Delay_1ka"
"60",-1.5,0.26,"6G_Global_Delay_1ka"
"61",-1,0.22,"6G_Global_Delay_1ka"
"62",-0.5,0.07,"6G_Global_Delay_1ka"
"63",0,0,"6G_Global_Delay_1ka"
"64",-10,-24.42,"6G_UM_1E20_"
"65",-9.5,-19.42,"6G_UM_1E20_"
"66",-9,-15.6,"6G_UM_1E20_"
"67",-8.5,-11.48,"6G_UM_1E20_"
"68",-8,-8.97,"6G_UM_1E20_"
"69",-7.5,-6.26,"6G_UM_1E20_"
"70",-7,-4.87,"6G_UM_1E20_"
"71",-6.5,-3.87,"6G_UM_1E20_"
"72",-6,-3.35,"6G_UM_1E20_"
"73",-5.5,-3.05,"6G_UM_1E20_"
"74",-5,-2.67,"6G_UM_1E20_"
"75",-4.5,-2.32,"6G_UM_1E20_"
"76",-4,-1.95,"6G_UM_1E20_"
"77",-3.5,-1.68,"6G_UM_1E20_"
"78",-3,-1.42,"6G_UM_1E20_"
"79",-2.5,-1.13,"6G_UM_1E20_"
"80",-2,-0.79,"6G_UM_1E20_"
"81",-1.5,-0.59,"6G_UM_1E20_"
"82",-1,-0.38,"6G_UM_1E20_"
"83",-0.5,-0.19,"6G_UM_1E20_"
"84",0,0,"6G_UM_1E20_"
"85",-10,-19.5,"6G_VM5a"
"86",-9.5,-14.33,"6G_VM5a"
"87",-9,-10.34,"6G_VM5a"
"88",-8.5,-6.12,"6G_VM5a"
"89",-8,-3.62,"6G_VM5a"
"90",-7.5,-0.97,"6G_VM5a"
"91",-7,0.29,"6G_VM5a"
"92",-6.5,1.07,"6G_VM5a"
"93",-6,1.29,"6G_VM5a"
"94",-5.5,1.22,"6G_VM5a"
"95",-5,1.17,"6G_VM5a"
"96",-4.5,1.09,"6G_VM5a"
"97",-4,1,"6G_VM5a"
"98",-3.5,0.84,"6G_VM5a"
"99",-3,0.69,"6G_VM5a"
