"time","lat","lon","IM","SampleID","StudySite","vicinity_size"
0,16.74493333,-87.80166667,"0 - 5 m below low tide level","306-20","Glover's Reef",1
5.5,16.74493333,-87.80166667,"0 - 5 m below low tide level","308-20","Glover's Reef",1
6.5,16.74493333,-87.80166667,"0 - 5 m below low tide level","309-20","Glover's Reef",1
6.5,16.78643333,-87.8623,"0 - 5 m below low tide level","312-20","Glover's Reef",1
0,16.78503333,-87.8313,"0 - 5 m below low tide level","318-20","Glover's Reef",1
1.5,17.225095,-87.52871,"< MTL","325-20","Lighthouse Reef",1
4.5,17.225095,-87.52871,"0 - 5 m below low tide level","326-20","Lighthouse Reef",1
0,17.37716667,-87.576,"0 - 5 m below low tide level","331-20","Lighthouse Reef",1
2,17.4705,-87.48716667,"0 - 5 m below low tide level","336-20","Lighthouse Reef",1
3,17.37333333,-87.53333333,"< MTL","342-20","Lighthouse Reef",1
0,16.90983333,-88.08,"0 - 5 m below low tide level","346-20","Tobacco Cay",1
6.5,16.90983333,-88.08,"0 - 5 m below low tide level","348-20","Tobacco Cay",1
0,17.06933333,-87.99283333,"0 - 5 m below low tide level","354-20","Emily",1
1.5,17.06933333,-87.99283333,"< MTL","355-20","Emily",1
8,17.06933333,-87.99283333,"< MTL","226-21","Emily",1
3.5,17.22616667,-88.04766667,"0 - 5 m below low tide level","359-20","Rendezvous Cay",1
6.5,17.22616667,-88.04766667,"< MTL","360-20","Rendezvous Cay",1
8.5,17.22616667,-88.04766667,"< MTL","362-20","Rendezvous Cay",1
5.5,17.47933333,-88.042,"0 - 5 m below low tide level","367-20","Gallow's Point Reef",1
7,17.47933333,-88.042,"0 - 5 m below low tide level","368-20","Gallow's Point Reef",1
1,16.6955,-88.07483333,"< MTL","375-20","Carrie Bow Cay",1
4,16.6955,-88.07483333,"0 - 5 m below low tide level","378-20","Carrie Bow Cay",1
5,16.6955,-88.07483333,"< MTL","379-20","Carrie Bow Cay",1
6.5,16.6955,-88.07483333,"< MTL","380-20","Carrie Bow Cay",1
0,16.6955,-88.07483333,"0 - 5 m below low tide level","381-20","Carrie Bow Cay",1
1,16.6955,-88.07483333,"0 - 5 m below low tide level","382-20","Carrie Bow Cay",1
1.5,16.11466667,-88.26166667,"0 - 5 m below low tide level","385-20","Nicholas Cay",1
6.5,16.11466667,-88.26166667,"0 - 5 m below low tide level","386-20","Nicholas Cay",1
6.5,16.11466667,-88.26166667,"0 - 5 m below low tide level","387-20","Nicholas Cay",1
0.5,16.29966667,-88.155,"0 - 5 m below low tide level","392-20","Ranguana Cay",1
0,16.979,-88.0285,"0 - 5 m below low tide level","395-20","Cross Cay",1
7,16.979,-88.0285,"0 - 5 m below low tide level","396-20","Cross Cay",1
2.5,16.74493333,-87.80166667,"0 - 5 m below low tide level","BETA-89831","Glover's Reef",1
4.5,16.74493333,-87.80166667,"0 - 5 m below low tide level","BETA-87920","Glover's Reef",1
6,16.74493333,-87.80166667,"0 - 5 m below low tide level","BETA-87921","Glover's Reef",1
2,16.78503333,-87.8313,"0 - 5 m below low tide level","BETA-89832","Glover's Reef",1
3,16.78503333,-87.8313,"< MTL","BETA-89833","Glover's Reef",1
4.5,17.32776667,-87.78701833,"< MTL","BETA-96587","Turneffe Island",1
1,17.54334,-87.79733,"0 - 5 m below low tide level","BETA-96645","Turneffe Island",1
4,17.225095,-87.52871,"0 - 5 m below low tide level","BETA-98360","Lighthouse Reef",1
7,17.17014667,-87.89780667,"MTL to HAT","BETA-171884","Turneffe Island",1
7,17.37716667,-87.576,"MTL to HAT","BETA-171885","Lighthouse Reef",1
7.5,17.37333333,-87.53333333,"MTL to HAT","BETA-117889","Lighthouse Reef",1
7.5,17.33966667,-87.52316667,"MTL to HAT","BETA-117890","Lighthouse Reef",1
5,16.90983333,-88.08,"0 - 5 m below low tide level","BBR 1-2.8","Tobacco Cay",1
5,17.06933333,-87.99283333,"0 - 5 m below low tide level","BBR 2-2.0","Emily",1
6.5,17.22616667,-88.04766667,"0 - 5 m below low tide level","BBR 3-3.5","Rendezvous Cay",1
7.5,17.22616667,-88.04766667,"0 - 5 m below low tide level","BBR 3-8.4","Rendezvous Cay",1
3.5,17.47933333,-88.042,"0 - 5 m below low tide level","BBR 4-1.7","Gallow's Point Reef",1
6.5,17.47933333,-88.042,"0 - 5 m below low tide level","BBR 4-6.0","Gallow's Point Reef",1
7.5,17.47933333,-88.042,"0 - 5 m below low tide level","BBR 4-9.3","Gallow's Point Reef",1
1,16.485,-88.002,"0 - 5 m below low tide level","BBR 5-2.8","Gladden spit",1
6,16.485,-88.002,"0 - 5 m below low tide level","BBR 5-7.3","Gladden spit",1
4.5,16.6955,-88.07483333,"0 - 5 m below low tide level","BBR 6-3.2","Carrie Bow Cay",1
