"time","lat","lon","IM","SampleID","StudySite","vicinity_size"
-0.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
0.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
1,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
1,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
1.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
1.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
1.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
1.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
1.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
1.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
2,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
2,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
2.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
2.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
2.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
2.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
2.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
2.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
3.5,16.831979,-88.105595,"LAT to HAT","GR/19/C1","Twin Cays",1
