d/m/yyyy,h:mm,time,height
1/1/15,12:00 AM,01/01/15 00:00,0.23
1/1/15,12:05 AM,01/01/15 00:05,0.24
1/1/15,12:10 AM,01/01/15 00:10,0.24
1/1/15,12:15 AM,01/01/15 00:15,0.24
1/1/15,12:20 AM,01/01/15 00:20,0.25
1/1/15,12:25 AM,01/01/15 00:25,0.25
1/1/15,12:30 AM,01/01/15 00:30,0.25
1/1/15,12:35 AM,01/01/15 00:35,0.26
1/1/15,12:40 AM,01/01/15 00:40,0.26
1/1/15,12:45 AM,01/01/15 00:45,0.26
1/1/15,12:50 AM,01/01/15 00:50,0.27
1/1/15,12:55 AM,01/01/15 00:55,0.27
1/1/15,1:00 AM,01/01/15 01:00,0.28
1/1/15,1:05 AM,01/01/15 01:05,0.28
1/1/15,1:10 AM,01/01/15 01:10,0.29
1/1/15,1:15 AM,01/01/15 01:15,0.29
1/1/15,1:20 AM,01/01/15 01:20,0.29
1/1/15,1:25 AM,01/01/15 01:25,0.3
1/1/15,1:30 AM,01/01/15 01:30,0.3
1/1/15,1:35 AM,01/01/15 01:35,0.31
1/1/15,1:40 AM,01/01/15 01:40,0.31
1/1/15,1:45 AM,01/01/15 01:45,0.32
1/1/15,1:50 AM,01/01/15 01:50,0.32
1/1/15,1:55 AM,01/01/15 01:55,0.33
1/1/15,2:00 AM,01/01/15 02:00,0.33
1/1/15,2:05 AM,01/01/15 02:05,0.34
1/1/15,2:10 AM,01/01/15 02:10,0.34
1/1/15,2:15 AM,01/01/15 02:15,0.35
1/1/15,2:20 AM,01/01/15 02:20,0.36
1/1/15,2:25 AM,01/01/15 02:25,0.36
1/1/15,2:30 AM,01/01/15 02:30,0.37
1/1/15,2:35 AM,01/01/15 02:35,0.37
1/1/15,2:40 AM,01/01/15 02:40,0.38
1/1/15,2:45 AM,01/01/15 02:45,0.38
1/1/15,2:50 AM,01/01/15 02:50,0.39
1/1/15,2:55 AM,01/01/15 02:55,0.39
1/1/15,3:00 AM,01/01/15 03:00,0.4
1/1/15,3:05 AM,01/01/15 03:05,0.4
1/1/15,3:10 AM,01/01/15 03:10,0.41
1/1/15,3:15 AM,01/01/15 03:15,0.41
1/1/15,3:20 AM,01/01/15 03:20,0.42
1/1/15,3:25 AM,01/01/15 03:25,0.42
1/1/15,3:30 AM,01/01/15 03:30,0.43
1/1/15,3:35 AM,01/01/15 03:35,0.43
1/1/15,3:40 AM,01/01/15 03:40,0.43
1/1/15,3:45 AM,01/01/15 03:45,0.44
1/1/15,3:50 AM,01/01/15 03:50,0.44
1/1/15,3:55 AM,01/01/15 03:55,0.45
1/1/15,4:00 AM,01/01/15 04:00,0.45
1/1/15,4:05 AM,01/01/15 04:05,0.46
1/1/15,4:10 AM,01/01/15 04:10,0.46
1/1/15,4:15 AM,01/01/15 04:15,0.46
1/1/15,4:20 AM,01/01/15 04:20,0.47
1/1/15,4:25 AM,01/01/15 04:25,0.47
1/1/15,4:30 AM,01/01/15 04:30,0.47
1/1/15,4:35 AM,01/01/15 04:35,0.48
1/1/15,4:40 AM,01/01/15 04:40,0.48
1/1/15,4:45 AM,01/01/15 04:45,0.48
1/1/15,4:50 AM,01/01/15 04:50,0.48
