"","RSL","RSLer_up_2sd","Age","Age_up_er_2sd","RSLError","AgeError","AgeCE","model","removalID"
"1",-0.0662400846272492,0.204665965873144,-68,1,0.102332982936572,0.5,2018,"Set1_thinned_2","_2"
"2",-0.104893215441904,0.20466831111202,54.1125,111.1125,0.10233415555601,55.55625,1895.8875,"Set1_thinned_2","_2"
"3",-0.143719492388326,0.204671931631436,93.025,138.025,0.102335965815718,69.0125,1856.975,"Set1_thinned_2","_2"
"4",-0.182639724313827,0.204677054887775,117.0375,151.0375,0.102338527443887,75.51875,1832.9625,"Set1_thinned_2","_2"
"5",-0.221615312403341,0.204683718773156,142.5125,164.5375,0.102341859386578,82.26875,1807.4875,"Set1_thinned_2","_2"
"6",-0.260639661327093,0.204691949905544,158.9875,169.0125,0.102345974952772,84.50625,1791.0125,"Set1_thinned_2","_2"
"7",-0.299700102144335,0.204701953556597,176.4875,174.5125,0.102350976778298,87.25625,1773.5125,"Set1_thinned_2","_2"
"8",-0.338791868278743,0.204713567704262,190,175.025,0.102356783852131,87.5125,1760,"Set1_thinned_2","_2"
"9",-0.377915319228109,0.204726775272363,208.4875,175.5375,0.102363387636182,87.76875,1741.5125,"Set1_thinned_2","_2"
"10",-0.417056468411638,0.204741612855972,224.4875,176.5375,0.102370806427986,88.26875,1725.5125,"Set1_thinned_2","_2"
"11",-0.45622432416646,0.20475801290416,238.975,177.05,0.10237900645208,88.525,1711.025,"Set1_thinned_2","_2"
"12",-0.495409203875332,0.204776035641867,253.4875,175.5625,0.102388017820934,87.78125,1696.5125,"Set1_thinned_2","_2"
"13",-0.53460780135734,0.204795767712425,269.4875,173.5375,0.102397883856213,86.76875,1680.5125,"Set1_thinned_2","_2"
"14",-0.573830657162773,0.204817176428343,287.0125,172.0125,0.102408588214172,86.00625,1662.9875,"Set1_thinned_2","_2"
"15",-0.61306881112592,0.204840184858502,313.3,161.725,0.102420092429251,80.8625,1636.7,"Set1_thinned_2","_2"
"16",-0.652317568969122,0.204864806458356,357.475,134.55,0.102432403229178,67.275,1592.525,"Set1_thinned_2","_2"
"17",-0.691579698389712,0.204890922067773,403.5,104.525,0.102445461033887,52.2625,1546.5,"Set1_thinned_2","_2"
"18",-0.730856632570166,0.204918791718702,499.5,35.5,0.102459395859351,17.75,1450.5,"Set1_thinned_2","_2"
"19",-0.770139539675085,0.204948354519139,664.525,106.525,0.102474177259569,53.2625,1285.475,"Set1_thinned_2","_2"
"20",-0.809438668511325,0.204979550566062,818.75,198.8,0.102489775283031,99.4,1131.25,"Set1_thinned_2","_2"
"21",-0.848747938921355,0.205012218418618,897.5125,224.5375,0.102506109209309,112.26875,1052.4875,"Set1_thinned_2","_2"
"22",-0.888066087170909,0.205046619911645,960.5,233.525,0.102523309955822,116.7625,989.5,"Set1_thinned_2","_2"
"23",-0.927394879143879,0.205082651125821,1024.55,239.55,0.102541325562911,119.775,925.45,"Set1_thinned_2","_2"
"24",-0.966732040488423,0.205120211452415,1097.9625,232.0875,0.102560105726207,116.04375,852.0375,"Set1_thinned_2","_2"
"25",-1.00607647501722,0.205159301171078,1187.0125,218.0125,0.102579650585539,109.00625,762.9875,"Set1_thinned_2","_2"
"26",-1.04543076451517,0.205199879545667,1285.3875,181.6625,0.102599939772833,90.8312500000001,664.6125,"Set1_thinned_2","_2"
"27",-1.08478835645408,0.205242115064093,1476.0125,85.0375000000001,0.102621057532047,42.5187500000001,473.9875,"Set1_thinned_2","_2"
"28",-1.12415820283692,0.205286034854572,1668.575,178.6,0.102643017427286,89.3000000000001,281.425,"Set1_thinned_2","_2"
"29",-1.16353591820517,0.205331539863568,1788.025,234.125,0.102665769931784,117.0625,161.975,"Set1_thinned_2","_2"
"30",-1.20291941070076,0.205378852001541,1885.5125,290.5625,0.102689426000771,145.28125,64.4875000000002,"Set1_thinned_2","_2"
"31",-1.24230847546427,0.205427414708054,1928.5,301.55,0.102713707354027,150.775,21.5,"Set1_thinned_2","_2"
"32",-1.2817059596852,0.205477547997197,1975.525,307.55,0.102738773998599,153.775,-25.5249999999999,"Set1_thinned_2","_2"
"33",-1.3211165532239,0.205529485012618,2025.075,315.1,0.102764742506309,157.55,-75.075,"Set1_thinned_2","_2"
"34",-1.36052268735723,0.205582632622529,2077,324.075,0.102791316311264,162.0375,-127,"Set1_thinned_2","_2"
"35",-1.39994793549604,0.205637515470592,2131.9875,331.1125,0.102818757735296,165.55625,-181.9875,"Set1_thinned_2","_2"
"36",-1.43936344978758,0.20569436529138,2210.0125,318.0375,0.10284718264569,159.01875,-260.0125,"Set1_thinned_2","_2"
"37",-1.47879206138159,0.205752273673303,2347.1625,262.8375,0.102876136836652,131.41875,-397.1625,"Set1_thinned_2","_2"
