"","Depth","lwr_true","median_true","upr_true","lwr_2sd","median","upr_2sd","test_error","subset","runID","nfold"
"1",0,-72.8,-69,-65.2,299.9,1343,1542.05,576.112917534401,"1","Set1_thinned_2",5
"2",69,336.45,506,623.55,745.9,1428,1564.125,576.112917534401,"1","Set1_thinned_2",5
"3",104.5,1381.95,1514,1687.05,904.975,1449,2171.05,576.112917534401,"1","Set1_thinned_2",5
"4",148,2360.7,2545,2729.3,1902.875,2680,3545.175,576.112917534401,"1","Set1_thinned_2",5
"5",196.5,3848.45,4009,4217.55,2751.925,3172,4215.725,576.112917534401,"1","Set1_thinned_2",5
"6",334,4655.4,4864,5029.6,4167.925,4600.5,5045.15,576.112917534401,"1","Set1_thinned_2",5
"7",407,5493.275,5687.5,5878.725,4909,5093,5316,576.112917534401,"1","Set1_thinned_2",5
"8",502,5067.1,5355,5560.9,5711.975,5883,6056.075,576.112917534401,"1","Set1_thinned_2",5
"9",574,5937.5,6099,6269.5,5518.975,5952.5,6466.05,576.112917534401,"1","Set1_thinned_2",5
"10",643.5,6814,7023,7233.95,6107,6310,6668.075,576.112917534401,"1","Set1_thinned_2",5
"11",670,6681.575,6844.5,7141.425,6246,6412,6558.075,576.112917534401,"1","Set1_thinned_2",5
"12",767,6410.925,6561.5,6725.075,6875,6981,7080.025,576.112917534401,"1","Set1_thinned_2",5
"13",850.5,6899.775,7066.5,7242.225,7092.975,7345,7602.05,576.112917534401,"1","Set1_thinned_2",5
"14",937.5,7585.75,7714,7842.25,7213,7496,7662.025,576.112917534401,"1","Set1_thinned_2",5
"15",1046.5,7585.75,7714,7842.25,7750,7845,7942.025,576.112917534401,"1","Set1_thinned_2",5
"16",1144.5,7852.05,7995,8158.95,7746.925,8078,9419.025,576.112917534401,"1","Set1_thinned_2",5
"17",0,-72.8,-69,-65.2,-55,64,239.025,1366.25213806307,"1","Set1_thinned_3",5
"18",24.5,7.275,145.5,283.725,39.975,302,1063.15,1366.25213806307,"1","Set1_thinned_3",5
"19",76.5,6866.625,7042.5,7237.375,377,1073,1394.025,1366.25213806307,"1","Set1_thinned_3",5
"20",104.5,1381.95,1514,1687.05,1172.95,1851,2450.175,1366.25213806307,"1","Set1_thinned_3",5
"21",148,2360.7,2545,2729.3,1663.625,2265,3471.3,1366.25213806307,"1","Set1_thinned_3",5
"22",160.5,3585.875,3754.5,3951.125,1722.65,2479,3562.25,1366.25213806307,"1","Set1_thinned_3",5
"23",256.5,3941.675,4171.5,4392.325,3932.975,4364,4732.05,1366.25213806307,"1","Set1_thinned_3",5
"24",334,4655.4,4864,5029.6,4378,4906.5,5397,1366.25213806307,"1","Set1_thinned_3",5
"25",407,5493.275,5687.5,5878.725,4973.875,5269,5597.025,1366.25213806307,"1","Set1_thinned_3",5
"26",481.5,5601.825,5750.5,5899.175,5648,5765,5922.075,1366.25213806307,"1","Set1_thinned_3",5
"27",552.5,6747.225,6922.5,7146.775,5841,6020,6288.025,1366.25213806307,"1","Set1_thinned_3",5
"28",574,5937.5,6099,6269.5,5873.975,6084,6318,1366.25213806307,"1","Set1_thinned_3",5
"29",643.5,6814,7023,7233.95,6200.975,6453,6774.025,1366.25213806307,"1","Set1_thinned_3",5
"30",649,6413.3,6571,6728.7,6214.95,6476,6784.025,1366.25213806307,"1","Set1_thinned_3",5
"31",749,6752.25,6947,7146.75,6516,6600,6654.05,1366.25213806307,"1","Set1_thinned_3",5
