"","Depth","lwr_2sd","median","upr_2sd","model","removalID","subset"
"1",0,-69,-69,-67,"Set1_thinned_2",2,"1"
"2",4,-57,-35,165.225,"Set1_thinned_2",2,"1"
"3",8,-45,-1,231.05,"Set1_thinned_2",2,"1"
"4",12,-34,33,268.075,"Set1_thinned_2",2,"1"
"5",16,-22.025,67,307.05,"Set1_thinned_2",2,"1"
"6",20,-10.025,101,328,"Set1_thinned_2",2,"1"
"7",24,1.975,135,351,"Set1_thinned_2",2,"1"
"8",28,14.975,169,365.025,"Set1_thinned_2",2,"1"
"9",32,32.95,203,384.025,"Set1_thinned_2",2,"1"
"10",36,47.95,237,401.025,"Set1_thinned_2",2,"1"
"11",40,61.925,271,416.025,"Set1_thinned_2",2,"1"
"12",44,77.925,305,429.05,"Set1_thinned_2",2,"1"
"13",48,95.95,339,443.025,"Set1_thinned_2",2,"1"
"14",52,115,373,459.025,"Set1_thinned_2",2,"1"
"15",56,151.575,407,475.025,"Set1_thinned_2",2,"1"
"16",60,222.925,441,492.025,"Set1_thinned_2",2,"1"
"17",64,298.975,475,508.025,"Set1_thinned_2",2,"1"
"18",68,464,509,535,"Set1_thinned_2",2,"1"
"19",72,558,599.5,771.05,"Set1_thinned_2",2,"1"
"20",76,619.95,708,1017.55,"Set1_thinned_2",2,"1"
"21",80,672.975,817,1122.05,"Set1_thinned_2",2,"1"
"22",84,726.975,927,1194.025,"Set1_thinned_2",2,"1"
"23",88,785,1038,1264.1,"Set1_thinned_2",2,"1"
"24",92,865.875,1147,1330.05,"Set1_thinned_2",2,"1"
"25",96,969,1257,1405.025,"Set1_thinned_2",2,"1"
"26",100,1103.725,1365,1467.05,"Set1_thinned_2",2,"1"
"27",104,1390.975,1474,1561.05,"Set1_thinned_2",2,"1"
"28",108,1489.975,1579,1847.175,"Set1_thinned_2",2,"1"
"29",112,1553.9,1675,2022.15,"Set1_thinned_2",2,"1"
"30",116,1594.95,1773,2176.075,"Set1_thinned_2",2,"1"
"31",120,1626.95,1873,2230.05,"Set1_thinned_2",2,"1"
"32",124,1667.975,1973,2283.075,"Set1_thinned_2",2,"1"
"33",128,1709.975,2072,2340.175,"Set1_thinned_2",2,"1"
"34",132,1752.925,2171,2401.075,"Set1_thinned_2",2,"1"
"35",136,1800.875,2266.5,2463.1,"Set1_thinned_2",2,"1"
"36",140,1891.975,2366.5,2528.05,"Set1_thinned_2",2,"1"
"37",144,2084.325,2463,2610,"Set1_thinned_2",2,"1"
"38",148,2372.95,2574.5,2722,"Set1_thinned_2",2,"1"
"39",152,2508,2701.5,3172.025,"Set1_thinned_2",2,"1"
"40",156,2638,2819,3333.825,"Set1_thinned_2",2,"1"
"41",160,2734.925,2932.5,3467.575,"Set1_thinned_2",2,"1"
"42",164,2792,3054,3568.475,"Set1_thinned_2",2,"1"
"43",168,2854.9,3171,3642.05,"Set1_thinned_2",2,"1"
"44",172,2901.925,3286,3690.275,"Set1_thinned_2",2,"1"
"45",176,2964.85,3403,3752,"Set1_thinned_2",2,"1"
"46",180,3063.975,3522,3799.125,"Set1_thinned_2",2,"1"
"47",184,3134.925,3643,3854.075,"Set1_thinned_2",2,"1"
"48",188,3263.125,3762.5,3918.05,"Set1_thinned_2",2,"1"
"49",192,3402.075,3879,3997.025,"Set1_thinned_2",2,"1"
"50",196,3871,3995.5,4108.025,"Set1_thinned_2",2,"1"
"51",200,3934.975,4045,4202.025,"Set1_thinned_2",2,"1"
"52",204,3955.975,4072,4335.125,"Set1_thinned_2",2,"1"
"53",208,3975,4095,4409.125,"Set1_thinned_2",2,"1"
"54",212,3994.975,4118,4474.175,"Set1_thinned_2",2,"1"
"55",216,4014,4142,4511.025,"Set1_thinned_2",2,"1"
"56",220,4028.975,4164,4538.125,"Set1_thinned_2",2,"1"
"57",224,4047.9,4187.5,4572.125,"Set1_thinned_2",2,"1"
"58",228,4058.95,4211,4588.075,"Set1_thinned_2",2,"1"
"59",232,4066.95,4235,4603.025,"Set1_thinned_2",2,"1"
"60",236,4076.925,4259,4619.05,"Set1_thinned_2",2,"1"
"61",240,4088,4282,4629.05,"Set1_thinned_2",2,"1"
"62",244,4099.975,4306.5,4642.05,"Set1_thinned_2",2,"1"
"63",248,4109,4331,4652.025,"Set1_thinned_2",2,"1"
"64",252,4119,4354.5,4668.025,"Set1_thinned_2",2,"1"
"65",256,4128,4378.5,4677,"Set1_thinned_2",2,"1"
"66",260,4140.9,4403,4687.075,"Set1_thinned_2",2,"1"
"67",264,4161.9,4427.5,4702,"Set1_thinned_2",2,"1"
"68",268,4171.775,4452,4712.125,"Set1_thinned_2",2,"1"
"69",272,4184.875,4476,4723.075,"Set1_thinned_2",2,"1"
"70",276,4188.975,4500,4735.05,"Set1_thinned_2",2,"1"
"71",280,4201.95,4524,4744,"Set1_thinned_2",2,"1"
"72",284,4210.975,4548,4751.075,"Set1_thinned_2",2,"1"
"73",288,4224.875,4571.5,4767.025,"Set1_thinned_2",2,"1"
"74",292,4251.95,4596,4773.05,"Set1_thinned_2",2,"1"
"75",296,4266.975,4620.5,4781.075,"Set1_thinned_2",2,"1"
"76",300,4290.725,4644,4789.05,"Set1_thinned_2",2,"1"
"77",304,4303.975,4668,4799.025,"Set1_thinned_2",2,"1"
"78",308,4321.925,4692,4807,"Set1_thinned_2",2,"1"
"79",312,4348.725,4716,4815.05,"Set1_thinned_2",2,"1"
"80",316,4392.85,4740.5,4829.025,"Set1_thinned_2",2,"1"
"81",320,4411.85,4764,4838.075,"Set1_thinned_2",2,"1"
"82",324,4471.575,4788,4857.025,"Set1_thinned_2",2,"1"
"83",328,4549.95,4813,4885.05,"Set1_thinned_2",2,"1"
"84",332,4707.875,4836,4912,"Set1_thinned_2",2,"1"
"85",336,4829.975,4860,4960,"Set1_thinned_2",2,"1"
"86",340,4840,4877,5051.075,"Set1_thinned_2",2,"1"
"87",344,4847,4895,5116.1,"Set1_thinned_2",2,"1"
"88",348,4853,4913,5151.45,"Set1_thinned_2",2,"1"
"89",352,4857.975,4931,5197.125,"Set1_thinned_2",2,"1"
"90",356,4862.975,4948,5235.225,"Set1_thinned_2",2,"1"
"91",360,4867.975,4963,5298.05,"Set1_thinned_2",2,"1"
"92",364,4873,4980,5322.425,"Set1_thinned_2",2,"1"
"93",368,4879.975,4996,5351.4,"Set1_thinned_2",2,"1"
"94",372,4887,5012.5,5387.175,"Set1_thinned_2",2,"1"
"95",376,4894.95,5029,5421.075,"Set1_thinned_2",2,"1"
"96",380,4900.975,5045,5447.05,"Set1_thinned_2",2,"1"
"97",384,4906.975,5059,5476.15,"Set1_thinned_2",2,"1"
"98",388,4914.975,5075,5505.05,"Set1_thinned_2",2,"1"
"99",392,4921,5091.5,5531.05,"Set1_thinned_2",2,"1"
"100",396,4933.95,5109,5559.025,"Set1_thinned_2",2,"1"
"101",400,4943,5128.5,5586,"Set1_thinned_2",2,"1"
"102",404,4951.975,5148,5619.075,"Set1_thinned_2",2,"1"
"103",408,4968.975,5166.5,5658.025,"Set1_thinned_2",2,"1"
"104",412,4990,5182,5683.025,"Set1_thinned_2",2,"1"
"105",416,5006.95,5195,5697.025,"Set1_thinned_2",2,"1"
"106",420,5023.975,5208,5707.025,"Set1_thinned_2",2,"1"
"107",424,5037.975,5220,5721,"Set1_thinned_2",2,"1"
"108",428,5052,5230.5,5732.025,"Set1_thinned_2",2,"1"
"109",432,5066.975,5239.5,5742.125,"Set1_thinned_2",2,"1"
"110",436,5080.975,5250.5,5751.1,"Set1_thinned_2",2,"1"
"111",440,5095,5259.5,5758.05,"Set1_thinned_2",2,"1"
"112",444,5110,5268.5,5769.025,"Set1_thinned_2",2,"1"
"113",448,5119.95,5279.5,5779.025,"Set1_thinned_2",2,"1"
"114",452,5137.9,5289,5786.025,"Set1_thinned_2",2,"1"
"115",456,5150,5300.5,5791.025,"Set1_thinned_2",2,"1"
