"","sampleID","LAT","MLWS","MLWN","MHWN","MHWS","HAT","model","IM","time","scaledto","range","tidalrangechange"
"1","306-20",-0.18397,-0.12681,-0.082372,0.061251,0.09817,0.14222,"Sulzbach et al. (2023)",NA,0,"OSU",0.22498,0
"2","308-20",-0.214045585307275,-0.159049874926504,-0.0144470604603002,0.0107084953042968,0.122736580974883,0.165470256794046,"Sulzbach et al. (2023)",NA,5.5,"OSU",0.281786455901387,0.0568064559013869
"3","309-20",-0.209379552697273,-0.151492138222608,-0.0221189336187439,0.0164000685007111,0.116940053264072,0.161863129774453,"Sulzbach et al. (2023)",NA,6.5,"OSU",0.26843219148668,0.04345219148668
"4","312-20",-0.208924305531546,-0.151074014664704,-0.0220560987905646,0.0163288465088874,0.116838801308001,0.161908654491026,"Sulzbach et al. (2023)",NA,6.5,"OSU",0.267912815972705,0.0433678159727046
"5","318-20",-0.18379,-0.12666,-0.082265,0.061054,0.098192,0.14239,"Sulzbach et al. (2023)",NA,0,"OSU",0.224852,0
"6","325-20",-0.151003787998891,-0.10967582407897,-0.0424813196071636,0.0315357074403445,0.0860971332272911,0.119413275407304,"Sulzbach et al. (2023)",NA,1.5,"OSU",0.195772957306261,-0.0330770426937387
"7","326-20",-0.227690979808403,-0.152510340251526,-0.0758474919003771,0.0559619277238216,0.118993680175197,0.180057242536322,"Sulzbach et al. (2023)",NA,4.5,"OSU",0.271504020426723,0.0426540204267228
"8","331-20",-0.18518,-0.12812,-0.083196,0.061834,0.10057,0.14753,"Sulzbach et al. (2023)",NA,0,"OSU",0.22869,0
"9","336-20",-0.151472906659559,-0.110071073700629,-0.0424638597766123,0.0318144635903176,0.0869028966391246,0.121194625882575,"Sulzbach et al. (2023)",NA,2,"OSU",0.196973970339754,-0.0328560296602465
"10","342-20",-0.181122179199475,-0.126873253318263,-0.0522102771720462,0.0388717146016446,0.0995744507363031,0.144259453106339,"Sulzbach et al. (2023)",NA,3,"OSU",0.226447704054566,-0.00271229594543365
"11","346-20",-0.18217,-0.12291,-0.076559,0.056698,0.09563,0.14434,"Sulzbach et al. (2023)",NA,0,"OSU",0.21854,0
"12","348-20",-0.1905296954646,-0.135342018007752,-0.0203664711779453,0.0150538550692189,0.105099357904671,0.150963694589452,"Sulzbach et al. (2023)",NA,6.5,"OSU",0.240441375912423,0.0219013759124229
"13","354-20",-0.18308,-0.12574,-0.080534,0.059749,0.098031,0.14389,"Sulzbach et al. (2023)",NA,0,"OSU",0.223771,0
"14","355-20",-0.133480506061297,-0.0977947297648395,-0.0362813728932406,0.0270224077157038,0.0765410408314457,0.104907745341709,"Sulzbach et al. (2023)",NA,1.5,"OSU",0.174335770596285,-0.0494352294037148
"15","226-21",-0.0956540076334589,-0.0564235533407977,-0.0360554405350691,0.0263881896108273,0.0433948150908621,0.0751783655144112,"Sulzbach et al. (2023)",NA,8,"OSU",0.0998183684316598,-0.12395263156834
"16","359-20",-0.136936737362492,-0.0978146119135196,-0.0542331632574653,0.0403733885606313,0.077102755233,0.109301130267353,"Sulzbach et al. (2023)",NA,3.5,"OSU",0.17491736714652,-0.0505196328534804
"17","360-20",-0.199267927680762,-0.14378612098624,-0.0210993303609253,0.0156376623123744,0.112838155554075,0.159053079115541,"Sulzbach et al. (2023)",NA,6.5,"OSU",0.256624276540315,0.0311872765403151
"18","362-20",-0.254799777964507,-0.163470440568314,-0.12760300657514,0.0944201634378904,0.128079288866854,0.203377882807799,"Sulzbach et al. (2023)",NA,8.5,"OSU",0.291549729435167,0.0661127294351673
"19","367-20",-0.219951840359743,-0.163482669098574,-0.0144547490192319,0.0107045647329864,0.129731767663744,0.1781010168072,"Sulzbach et al. (2023)",NA,5.5,"OSU",0.293214436762318,0.0639944367623178
"20","368-20",-0.214691257767658,-0.15574921178083,-0.0217449739161384,0.0161044167966929,0.123602739262364,0.173841379301479,"Sulzbach et al. (2023)",NA,7,"OSU",0.279351951043193,0.0501319510431932
"21","375-20",-0.182624326969237,-0.128502917182236,-0.0677571553144423,0.050356225309054,0.0996936357222981,0.142338082513863,"Sulzbach et al. (2023)",NA,1,"OSU",0.228196552904534,0.00588255290453413
"22","378-20",-0.133639509771868,-0.095457958386131,-0.0538927328365088,0.0401386650566256,0.0742166453529161,0.104159133039404,"Sulzbach et al. (2023)",NA,4,"OSU",0.169674603739047,-0.0526393962609529
"23","379-20",-0.201598963811721,-0.134750661972438,-0.067142359554231,0.0498152919146908,0.104364644611822,0.157126985336273,"Sulzbach et al. (2023)",NA,5,"OSU",0.23911530658426,0.01680130658426
"24","380-20",-0.196448040979307,-0.141220671552678,-0.0218759003007151,0.0162183893230951,0.109294049664856,0.153112336842777,"Sulzbach et al. (2023)",NA,6.5,"OSU",0.250514721217534,0.0282007212175337
"25","381-20",-0.18314,-0.1252,-0.079484,0.059061,0.097114,0.14274,"Sulzbach et al. (2023)",NA,0,"OSU",0.222314,0
"26","382-20",-0.182624326969237,-0.128502917182236,-0.0677571553144423,0.050356225309054,0.0996936357222981,0.142338082513863,"Sulzbach et al. (2023)",NA,1,"OSU",0.228196552904534,0.00588255290453413
"27","385-20",-0.136849305149951,-0.0985145327006036,-0.0405860369853641,0.0305194505016183,0.0768087152260784,0.103863415894542,"Sulzbach et al. (2023)",NA,1.5,"OSU",0.175323247926682,-0.046719752073318
"28","386-20",-0.211657325901281,-0.151428830058302,-0.0237079492512232,0.017706066813661,0.117259186406776,0.160639857419248,"Sulzbach et al. (2023)",NA,6.5,"OSU",0.268688016465078,0.0466450164650778
