"","SiteName","data_type_id","Age","Age_BP","Age_type","pred","upr","lwr","rate_pred","rate_upr","rate_lwr","CI"
"1",",
 ","ProxyRecord",-6146.0125,8096.0125,"BP",-11.5807994043659,-11.7464149741621,-11.4105543130604,1.44979373809841,-0.22082535329282,3.17844424648177,"95%"
"2",",
 ","ProxyRecord",-6096.0125,8046.0125,"BP",-11.4992270461385,-11.6148176311522,-11.3853597670078,1.82529648385503,0.563114752868869,3.05660830385128,"95%"
"3",",
 ","ProxyRecord",-6046.0125,7996.0125,"BP",-11.3967764732962,-11.4839869910172,-11.3091811357715,2.2849452266332,1.37399815338777,3.19268885305702,"95%"
"4",",
 ","ProxyRecord",-5996.0125,7946.0125,"BP",-11.2692745897333,-11.3409609151572,-11.1959326149617,2.82502186580345,2.14397451008197,3.52434316598362,"95%"
"5",",
 ","ProxyRecord",-5946.0125,7896.0125,"BP",-11.1131109229441,-11.1784822974337,-11.0450227733652,3.42618602612156,2.83282334804644,4.00046502053981,"95%"
"6",",
 ","ProxyRecord",-5896.0125,7846.0125,"BP",-10.9260730813882,-10.9890439511564,-10.859336373042,4.0514686604114,3.50223267759623,4.57504957301856,"95%"
"7",",
 ","ProxyRecord",-5846.0125,7796.0125,"BP",-10.7083073655612,-10.774069085006,-10.6421111035996,4.64444434847888,4.14269019516914,5.10352495927525,"95%"
"8",",
 ","ProxyRecord",-5796.0125,7746.0125,"BP",-10.4630249290026,-10.5306864683858,-10.3969361352757,5.14045674996075,4.70315062088535,5.55054238923925,"95%"
"9",",
 ","ProxyRecord",-5746.0125,7696.0125,"BP",-10.1968087459139,-10.2624321098491,-10.1320211081204,5.46988638326766,5.05135520168263,5.89500910885266,"95%"
"10",",
 ","ProxyRecord",-5696.0125,7646.0125,"BP",-9.91977764897395,-9.9801120368119,-9.85923916794156,5.56530881099274,5.08621695741084,6.05575877275119,"95%"
"11",",
 ","ProxyRecord",-5646.0125,7596.0125,"BP",-9.64451189662955,-9.69916006382057,-9.58756520637553,5.39838756435646,4.86761062503355,5.95601325797611,"95%"
"12",",
 ","ProxyRecord",-5596.0125,7546.0125,"BP",-9.3841520127077,-9.44305529588551,-9.32726068897599,4.97594365844088,4.45403022184883,5.55319959486761,"95%"
"13",",
 ","ProxyRecord",-5546.0125,7496.0125,"BP",-9.15021216240818,-9.2177689190146,-9.08394522408206,4.3579054415564,3.8645461132772,4.90384271532042,"95%"
"14",",
 ","ProxyRecord",-5496.0125,7446.0125,"BP",-8.9498094390127,-9.02413545442191,-8.87423454325909,3.65561802919396,3.19186654349316,4.12533154091071,"95%"
"15",",
 ","ProxyRecord",-5446.0125,7396.0125,"BP",-8.78411268643227,-8.86265955585655,-8.70129221918127,2.9919280582888,2.50033072551463,3.44195644128858,"95%"
"16",",
 ","ProxyRecord",-5396.0125,7346.0125,"BP",-8.6478520486073,-8.72962269352803,-8.56374153011189,2.49619839809151,1.95841788618082,2.98839705843462,"95%"
"17",",
 ","ProxyRecord",-5346.0125,7296.0125,"BP",-8.53029573506971,-8.61491620927797,-8.44633465465506,2.25312101241735,1.67903949884373,2.77707227662999,"95%"
"18",",
 ","ProxyRecord",-5296.0125,7246.0125,"BP",-8.41753656151643,-8.5069102724266,-8.33537445804746,2.30454628207971,1.73707794871901,2.80446215054273,"95%"
"19",",
 ","ProxyRecord",-5246.0125,7196.0125,"BP",-8.29508968861986,-8.3818604167718,-8.21363868764663,2.62833076507148,2.11807963305879,3.08982853158206,"95%"
"20",",
 ","ProxyRecord",-5196.0125,7146.0125,"BP",-8.151411377883,-8.23697992146696,-8.07283957197187,3.13451829336862,2.65922714384866,3.59604309336955,"95%"
"21",",
 ","ProxyRecord",-5146.0125,7096.0125,"BP",-7.97994657624047,-8.05403126068315,-7.90868517002095,3.7176967722149,3.23211577261336,4.27672411510351,"95%"
"22",",
 ","ProxyRecord",-5096.0125,7046.0125,"BP",-7.78050782170497,-7.84468976975088,-7.71937938427712,4.22902497844001,3.6901029404823,4.83776416430801,"95%"
"23",",
 ","ProxyRecord",-5046.0125,6996.0125,"BP",-7.55985963517812,-7.61846447078183,-7.50425985114593,4.55597415712862,3.97475151878797,5.17155856378026,"95%"
"24",",
 ","ProxyRecord",-4996.0125,6946.0125,"BP",-7.32866406807376,-7.38878299635371,-7.26793428652373,4.64319966503135,4.07374686750641,5.20822958468624,"95%"
"25",",
 ","ProxyRecord",-4946.0125,6896.0125,"BP",-7.09989465000425,-7.16733369585173,-7.02772208491377,4.46421533474554,3.94378637489254,4.98445228923082,"95%"
"26",",
 ","ProxyRecord",-4896.0125,6846.0125,"BP",-6.88620625722861,-6.96557924123014,-6.80746585202901,4.05393803748932,3.55586726273475,4.55057867032658,"95%"
"27",",
 ","ProxyRecord",-4846.0125,6796.0125,"BP",-6.69698645886258,-6.78182281261126,-6.61264368196081,3.50110118781836,2.93972741796201,3.99076188374717,"95%"
"28",",
 ","ProxyRecord",-4796.0125,6746.0125,"BP",-6.53728107346792,-6.62748056600244,-6.44794563803733,2.89205671852088,2.28326258387335,3.38233892394676,"95%"
"29",",
 ","ProxyRecord",-4746.0125,6696.0125,"BP",-6.40723571947186,-6.50045058882958,-6.31611407037073,2.33084424999028,1.76856634852859,2.81792008263965,"95%"
"30",",
 ","ProxyRecord",-4696.0125,6646.0125,"BP",-6.3025801722191,-6.40049875868288,-6.21183499276781,1.87773836852393,1.34711719931102,2.37018956737916,"95%"
"31",",
 ","ProxyRecord",-4646.0125,6596.0125,"BP",-6.21738564335658,-6.31128334519175,-6.12831152099688,1.56272157458492,1.01554201631144,2.08240330233461,"95%"
"32",",
 ","ProxyRecord",-4596.0125,6546.0125,"BP",-6.14377628288353,-6.2296642212266,-6.06062896990406,1.39620176219891,0.78667646085826,2.02409097755986,"95%"
"33",",
 ","ProxyRecord",-4546.0125,6496.0125,"BP",-6.07583483841441,-6.15542243911364,-5.9946564031074,1.34380375658832,0.696446259670398,2.06778823178199,"95%"
"34",",
 ","ProxyRecord",-4496.0125,6446.0125,"BP",-6.00854374349442,-6.09370839672211,-5.92535409678413,1.36099706704382,0.690420771711466,2.11066965835733,"95%"
"35",",
 ","ProxyRecord",-4446.0125,6396.0125,"BP",-5.93873617711348,-6.03352326539603,-5.84227482797773,1.41822476090061,0.776645836487776,2.14256175903975,"95%"
"36",",
 ","ProxyRecord",-4396.0125,6346.0125,"BP",-5.86634323487912,-5.97358262065248,-5.75806687902934,1.4790121740329,0.88926335942902,2.09092488044789,"95%"
"37",",
 ","ProxyRecord",-4346.0125,6296.0125,"BP",-5.79111426466419,-5.90709493578356,-5.67505942976294,1.5247625883263,0.992212275574235,2.08609930789185,"95%"
"38",",
 ","ProxyRecord",-4296.0125,6246.0125,"BP",-5.71451403136579,-5.83325195918888,-5.59544932811964,1.54139049862279,0.976008291448658,2.08853566776774,"95%"
"39",",
 ","ProxyRecord",-4246.0125,6196.0125,"BP",-5.63754070993018,-5.75935313010957,-5.51877698546922,1.51588520224797,0.893478023916232,2.07544983134366,"95%"
"40",",
 ","ProxyRecord",-4196.0125,6146.0125,"BP",-5.56331937980685,-5.68101565206391,-5.44994378560924,1.45554170875196,0.814179302040792,2.01987646130986,"95%"
"41",",
 ","ProxyRecord",-4146.0125,6096.0125,"BP",-5.49285787009901,-5.60107205838989,-5.38467832556815,1.36063967596892,0.70013680212995,1.96443690016801,"95%"
"42",",
 ","ProxyRecord",-4096.0125,6046.0125,"BP",-5.42762366162028,-5.53239688165438,-5.32516505696906,1.23562471527534,0.615964504807367,1.85411559355335,"95%"
"43",",
 ","ProxyRecord",-4046.0125,5996.0125,"BP",-5.36933606229226,-5.47001414603477,-5.27109235245472,1.08799150556997,0.462279663069178,1.75931163461022,"95%"
"44",",
 ","ProxyRecord",-3996.0125,5946.0125,"BP",-5.31941404714194,-5.41800499731442,-5.22493395430248,0.924946152489459,0.271115629097936,1.61261254236876,"95%"
"45",",
 ","ProxyRecord",-3946.0125,5896.0125,"BP",-5.27673303736011,-5.37505327771176,-5.17889662528268,0.787948116611076,0.138779019895785,1.4655141831326,"95%"
"46",",
 ","ProxyRecord",-3896.0125,5846.0125,"BP",-5.23956534850267,-5.34179883528721,-5.13665423302874,0.716435959600013,0.100508843465148,1.36237640034743,"95%"
"47",",
 ","ProxyRecord",-3846.0125,5796.0125,"BP",-5.20361240200012,-5.31111763465664,-5.09467576464489,0.742879544233676,0.180949452391991,1.32622803495393,"95%"
"48",",
 ","ProxyRecord",-3796.0125,5746.0125,"BP",-5.16312847657352,-5.27693983529707,-5.05156186856126,0.892202909039768,0.330604258997754,1.41254837556433,"95%"
"49",",
 ","ProxyRecord",-3746.0125,5696.0125,"BP",-5.1113666006342,-5.22571677283602,-5.00155908338136,1.18178289266335,0.652188795388336,1.67343951089813,"95%"
"50",",
 ","ProxyRecord",-3696.0125,5646.0125,"BP",-5.04140261865365,-5.15282454397768,-4.93494939521867,1.60731339905756,1.07110378951131,2.08708994791665,"95%"
"51",",
 ","ProxyRecord",-3646.0125,5596.0125,"BP",-4.9479019767484,-5.05176534664549,-4.84868304646372,2.13559777370593,1.58544995049979,2.64266871221871,"95%"
"52",",
 ","ProxyRecord",-3596.0125,5546.0125,"BP",-4.82765319262196,-4.9189972984858,-4.73974866209166,2.69985488940998,2.13567623745547,3.24479604619838,"95%"
"53",",
 ","ProxyRecord",-3546.0125,5496.0125,"BP",-4.6801544535321,-4.7574621572235,-4.60385292084284,3.2201225734798,2.64509188043964,3.80183701636824,"95%"
"54",",
 ","ProxyRecord",-3496.0125,5446.0125,"BP",-4.50777241856572,-4.57602737210141,-4.44246520491646,3.61610471897092,3.03849111875648,4.20971492506398,"95%"
"55",",
 ","ProxyRecord",-3446.0125,5396.0125,"BP",-4.31842547991892,-4.38354586132203,-4.25423135444115,3.82789784240113,3.25215599857863,4.41328317147794,"95%"
"56",",
 ","ProxyRecord",-3396.0125,5346.0125,"BP",-4.1255286011047,-4.1957028228666,-4.05677944329372,3.81983260964359,3.2883086826104,4.38263303974777,"95%"
"57",",
 ","ProxyRecord",-3346.0125,5296.0125,"BP",-3.94044117279841,-4.01553281984264,-3.86571046616223,3.59299145189366,3.0928278702209,4.12857482092022,"95%"
"58",",
 ","ProxyRecord",-3296.0125,5246.0125,"BP",-3.77168350983287,-3.85349019275941,-3.69015731255421,3.17702990821367,2.64598566327991,3.71120419138495,"95%"
"59",",
 ","ProxyRecord",-3246.0125,5196.0125,"BP",-3.62655593194626,-3.71482803938642,-3.5362957776251,2.62925620090085,2.02385715258675,3.20283554147321,"95%"
"60",",
 ","ProxyRecord",-3196.0125,5146.0125,"BP",-3.51106652494145,-3.60967294071887,-3.41450332831732,2.01768735323613,1.30832909494629,2.64458110376149,"95%"
