"","SiteName","data_type_id","Age","Age_BP","Age_type","pred","lwr","upr","rate_pred","rate_lwr","rate_upr","CI","model","removalID","removalIDlabel"
"1",",
 ","ProxyRecord",-6284.025,8234.025,"BP",-11.3883837198953,-11.5485842626014,-11.2280834505622,-6.69101245623168,-7.92974622023222,-5.45485947446205,"95%","Set1_thinned_2","_2","n=2"
"2",",
 ","ProxyRecord",-6234.025,8184.025,"BP",-11.6520564701755,-11.7693809957738,-11.5357430731944,-3.91145328791659,-4.8789228337139,-2.95488427749338,"95%","Set1_thinned_2","_2","n=2"
"3",",
 ","ProxyRecord",-6184.025,8134.025,"BP",-11.7850804484894,-11.8731876184728,-11.6926101252358,-1.46508648612836,-2.19105346236437,-0.733049118290931,"95%","Set1_thinned_2","_2","n=2"
"4",",
 ","ProxyRecord",-6134.025,8084.025,"BP",-11.8041165185909,-11.879380398947,-11.7257339717749,0.648063040584442,0.110519487386685,1.17413466673654,"95%","Set1_thinned_2","_2","n=2"
"5",",
 ","ProxyRecord",-6084.025,8034.025,"BP",-11.7258255442338,-11.7934480298885,-11.6550109565087,2.42799529221829,2.04872172235185,2.80613965960291,"95%","Set1_thinned_2","_2","n=2"
"6",",
 ","ProxyRecord",-6034.025,7984.025,"BP",-11.5668683891719,-11.6294598091104,-11.5039899996274,3.87471026877779,3.59206059932564,4.1449420557391,"95%","Set1_thinned_2","_2","n=2"
"7",",
 ","ProxyRecord",-5984.025,7934.025,"BP",-11.343905917159,-11.4009620494242,-11.2876695356526,4.98820797025974,4.72856180017327,5.22708900563634,"95%","Set1_thinned_2","_2","n=2"
"8",",
 ","ProxyRecord",-5934.025,7884.025,"BP",-11.0735989919489,-11.1249767956618,-11.0262295221978,5.76848839666633,5.50936171037338,6.01833788985496,"95%","Set1_thinned_2","_2","n=2"
"9",",
 ","ProxyRecord",-5884.025,7834.025,"BP",-10.7726084772954,-10.8166765758722,-10.7319965913515,6.2155515479944,5.94180992807615,6.48446831366585,"95%","Set1_thinned_2","_2","n=2"
"10",",
 ","ProxyRecord",-5834.025,7784.025,"BP",-10.4575952369523,-10.4947063377786,-10.4223395847613,6.32939742424943,6.04185272118287,6.60828715552259,"95%","Set1_thinned_2","_2","n=2"
"11",",
 ","ProxyRecord",-5784.025,7734.025,"BP",-10.1452201346734,-10.1794312548319,-10.1126236205155,6.11002602542629,5.84204281373827,6.38074998775995,"95%","Set1_thinned_2","_2","n=2"
"12",",
 ","ProxyRecord",-5734.025,7684.025,"BP",-9.85214403421254,-9.88734560808985,-9.81734192648744,5.55743735152818,5.32056565015474,5.79663423178407,"95%","Set1_thinned_2","_2","n=2"
"13",",
 ","ProxyRecord",-5684.025,7634.025,"BP",-9.59501712375339,-9.63512007542796,-9.55505425617979,4.67623896228872,4.4911456152996,4.8598518805745,"95%","Set1_thinned_2","_2","n=2"
"14",",
 ","ProxyRecord",-5634.025,7584.025,"BP",-9.38476445491542,-9.42815731402943,-9.34066833852332,3.75621930260625,3.62284865732713,3.89618646416061,"95%","Set1_thinned_2","_2","n=2"
"15",",
 ","ProxyRecord",-5584.025,7534.025,"BP",-9.2171627223928,-9.26168830688185,-9.17122243248453,2.97020150967345,2.8625253687905,3.08772749531243,"95%","Set1_thinned_2","_2","n=2"
"16",",
 ","ProxyRecord",-5534.025,7484.025,"BP",-9.08551183284811,-9.13262628047419,-9.03901150113792,2.31818558348958,2.20200662604398,2.43449838185214,"95%","Set1_thinned_2","_2","n=2"
"17",",
 ","ProxyRecord",-5484.025,7434.025,"BP",-8.98311169294393,-9.02915949147793,-8.93760721618093,1.8001715240515,1.66578641356141,1.93161066046774,"95%","Set1_thinned_2","_2","n=2"
